"","uni","metric","metrix","stage","col","barefoot2025.bad20.003","pval"
"3423","L2CompR1.qABQ.3","qABQ","99","99","3",0.325006445523631,NA
"3424","L2CompR12.qABQ.3","qABQ","99","99","3",0.617837744265068,NA
"3425","L22CompL3.qABQ.3","qABQ","99","99","3",-0.122801490713564,NA
"3426","L22CompL32.qABQ.3","qABQ","99","99","3",-0.456807106259605,NA
"3427","L22CompR1.qABQ.3","qABQ","99","99","3",0.41910844182921,NA
"3428","L22CompR12.qABQ.3","qABQ","99","99","3",0.671115632533495,NA
"3429","L3CompR1.qABQ.3","qABQ","99","99","3",0.482640909390295,NA
"3430","L3CompR12.qABQ.3","qABQ","99","99","3",0.707085918404426,NA
"3431","L32CompR1.qABQ.3","qABQ","99","99","3",0.601257053404794,NA
"3432","L32CompR12.qABQ.3","qABQ","99","99","3",0.774243023627936,NA
"3433","DCompL1.qqm.3","qqm","99","99","3",0,NA
"3434","DCompL12.qqm.3","qqm","99","99","3",0,NA
"3435","DCompL2.qqm.3","qqm","99","99","3",0,NA
"3436","DCompL22.qqm.3","qqm","99","99","3",0,NA
"3437","DCompL3.qqm.3","qqm","99","99","3",0,NA
"3438","DCompL32.qqm.3","qqm","99","99","3",0,NA
"3439","DCompR1.qqm.3","qqm","99","99","3",0,NA
"3440","DCompR12.qqm.3","qqm","99","99","3",0,NA
"3441","L1CompL2.qqm.3","qqm","99","99","3",0.479154238915943,NA
"3442","L1CompL22.qqm.3","qqm","99","99","3",0.542128802488791,NA
"3443","L1CompL3.qqm.3","qqm","99","99","3",0.0578197855416421,NA
"3444","L1CompL32.qqm.3","qqm","99","99","3",0.0622516369761624,NA
"3445","L1CompR1.qqm.3","qqm","99","99","3",0.81423792728383,NA
"3446","L1CompR12.qqm.3","qqm","99","99","3",0.913817533379949,NA
"3447","L12CompL2.qqm.3","qqm","99","99","3",0.406096380729462,NA
"3448","L12CompL22.qqm.3","qqm","99","99","3",0.477904244059393,NA
"3449","L12CompL3.qqm.3","qqm","99","99","3",-0.0743377045197916,NA
"3450","L12CompL32.qqm.3","qqm","99","99","3",-0.0692842072972114,NA
"3451","L12CompR1.qqm.3","qqm","99","99","3",0.788181501026894,NA
"3452","L12CompR12.qqm.3","qqm","99","99","3",0.901728913494892,NA
"3453","L2CompL3.qqm.3","qqm","99","99","3",-0.808942848065731,NA
"3454","L2CompL32.qqm.3","qqm","99","99","3",-0.800433896345943,NA
"3455","L2CompR1.qqm.3","qqm","99","99","3",0.643345330622379,NA
"3456","L2CompR12.qqm.3","qqm","99","99","3",0.83453361232954,NA
"3457","L22CompL3.qqm.3","qqm","99","99","3",-1.05774073490459,NA
"3458","L22CompL32.qqm.3","qqm","99","99","3",-1.04806148130967,NA
"3459","L22CompR1.qqm.3","qqm","99","99","3",0.594291858221498,NA
"3460","L22CompR12.qqm.3","qqm","99","99","3",0.811775741543688,NA
"3461","L3CompR1.qqm.3","qqm","99","99","3",0.802838066576296,NA
"3462","L3CompR12.qqm.3","qqm","99","99","3",0.908528681352542,NA
"3463","L32CompR1.qqm.3","qqm","99","99","3",0.801906268204866,NA
"3464","L32CompR12.qqm.3","qqm","99","99","3",0.90809638276291,NA
"3465","DCompL1.qQuant.4","qQuant","99","99","4",0.823808759650364,NA
"3466","DCompL12.qQuant.4","qQuant","99","99","4",0.729793645387464,NA
"3467","DCompL2.qQuant.4","qQuant","99","99","4",0.461257584452201,NA
"3468","DCompL22.qQuant.4","qQuant","99","99","4",0.395987304733858,NA
"3469","DCompL3.qQuant.4","qQuant","99","99","4",0.801222599429782,NA
"3470","DCompL32.qQuant.4","qQuant","99","99","4",0.789920969808249,NA
"3471","DCompR1.qQuant.4","qQuant","99","99","4",0.179709811915463,NA
"3472","DCompR12.qQuant.4","qQuant","99","99","4",0.0869415821828116,NA
"3473","L1CompL2.qQuant.4","qQuant","99","99","4",-2.05771396170838,NA
"3474","L1CompL22.qQuant.4","qQuant","99","99","4",-2.42816529395861,NA
"3475","L1CompL3.qQuant.4","qQuant","99","99","4",-0.128191164190466,NA
"3476","L1CompL32.qQuant.4","qQuant","99","99","4",-0.19233527032824,NA
"3477","L1CompR1.qQuant.4","qQuant","99","99","4",-3.65568087526226,NA
"3478","L1CompR12.qQuant.4","qQuant","99","99","4",-4.18220097665074,NA
"3479","L12CompL2.qQuant.4","qQuant","99","99","4",-0.99381845153247,NA
"3480","L12CompL22.qQuant.4","qQuant","99","99","4",-1.23537561184403,NA
"3481","L12CompL3.qQuant.4","qQuant","99","99","4",0.264349645457981,NA
"3482","L12CompL32.qQuant.4","qQuant","99","99","4",0.222523724532698,NA
"3483","L12CompR1.qQuant.4","qQuant","99","99","4",-2.03579162400085,NA
"3484","L12CompR12.qQuant.4","qQuant","99","99","4",-2.37911526591029,NA
"3485","L2CompL3.qQuant.4","qQuant","99","99","4",0.631034433462791,NA
"3486","L2CompL32.qQuant.4","qQuant","99","99","4",0.610056635362299,NA
"3487","L2CompR1.qQuant.4","qQuant","99","99","4",-0.522601830506435,NA
"3488","L2CompR12.qQuant.4","qQuant","99","99","4",-0.694795864344152,NA
"3489","L22CompL3.qQuant.4","qQuant","99","99","4",0.670905260554776,NA
"3490","L22CompL32.qQuant.4","qQuant","99","99","4",0.652194346512559,NA
"3491","L22CompR1.qQuant.4","qQuant","99","99","4",-0.35806779313322,NA
"3492","L22CompR12.qQuant.4","qQuant","99","99","4",-0.511654349276341,NA
"3493","L3CompR1.qQuant.4","qQuant","99","99","4",-3.12667730703506,NA
"3494","L3CompR12.qQuant.4","qQuant","99","99","4",-3.59337135508345,NA
"3495","L32CompR1.qQuant.4","qQuant","99","99","4",-2.90467429012697,NA
"3496","L32CompR12.qQuant.4","qQuant","99","99","4",-3.34626158062415,NA
"3497","DCompL1.qSigma.4","qSigma","99","99","4",0.106402065808921,NA
"3498","DCompL12.qSigma.4","qSigma","99","99","4",0.225052628303913,NA
"3499","DCompL2.qSigma.4","qSigma","99","99","4",0.114904863087351,NA
"3500","DCompL22.qSigma.4","qSigma","99","99","4",0.183654903760121,NA
"3501","DCompL3.qSigma.4","qSigma","99","99","4",0.204559166015024,NA
"3502","DCompL32.qSigma.4","qSigma","99","99","4",0.235444144526412,NA
"3503","DCompR1.qSigma.4","qSigma","99","99","4",0.135182041301311,NA
"3504","DCompR12.qSigma.4","qSigma","99","99","4",0.0872706138621465,NA
"3505","L1CompL2.qSigma.4","qSigma","99","99","4",0.0095152382890481,NA
"3506","L1CompL22.qSigma.4","qSigma","99","99","4",0.0864514509214171,NA
"3507","L1CompL3.qSigma.4","qSigma","99","99","4",0.109844815492953,NA
"3508","L1CompL32.qSigma.4","qSigma","99","99","4",0.144407315393253,NA
"3509","L1CompR1.qSigma.4","qSigma","99","99","4",0.0322068509686544,NA
"3510","L1CompR12.qSigma.4","qSigma","99","99","4",-0.0214094630423395,NA
"3511","L12CompL2.qSigma.4","qSigma","99","99","4",-0.142135800751847,NA
"3512","L12CompL22.qSigma.4","qSigma","99","99","4",-0.0534200463873918,NA
"3513","L12CompL3.qSigma.4","qSigma","99","99","4",-0.0264449729586618,NA
"3514","L12CompL32.qSigma.4","qSigma","99","99","4",0.0134093186221864,NA
"3515","L12CompR1.qSigma.4","qSigma","99","99","4",-0.115969922971553,NA
"3516","L12CompR12.qSigma.4","qSigma","99","99","4",-0.177795318074582,NA
"3517","L2CompL3.qSigma.4","qSigma","99","99","4",0.10129340811927,NA
"3518","L2CompL32.qSigma.4","qSigma","99","99","4",0.136187937784317,NA
"3519","L2CompR1.qSigma.4","qSigma","99","99","4",0.022909603011367,NA
