"","uni","metric","metrix","stage","col","ASnormalized.t7_ahya1.002r","pval"
"194","nCon.15.0","nCon","12","15","1",0.806988973228977,1.77053345619404e-10
"195","Fm.15.0","Fm","13","15","1",2894.62085080482,1.46645908854945e-96
"196","Fo.15.0","Fo","14","15","1",2480.58185071247,3.53037210108026e-73
"197","Quant.16.0","Quant","1","16","1",0.0541798775404159,1.9094343563068e-78
"198","Sigma.16.0","Sigma","2","16","1",3.216804141046,1.86702747568363e-29
"199","Connect.16.0","Connect","3","16","1",0.382995042115273,1.37142486434133e-09
"200","Tau1.16.0","Tau1","4","16","1",1545.66986976835,1.05205832151702e-15
"201","Tau2.16.0","Tau2","5","16","1",6922325.15994405,6.14001168603806e-09
"202","NPQ.16.0","NPQ","6","16","1",0.236439461145052,6.3923408273649e-95
"203","qP.16.0","qP","7","16","1",0.489064209079207,3.81886871261361e-78
"204","ABQ.16.0","ABQ","8","16","1",0.291648759176204,1.86702747568363e-29
"205","qm.16.0","qm","9","16","1",0.8628253678401,1.9094343563068e-78
"206","nTau1.16.0","nTau1","10","16","1",2.45101884581154,1.05205832151702e-15
"207","nTau2.16.0","nTau2","11","16","1",10.4185211240179,6.14001168603806e-09
"208","nCon.16.0","nCon","12","16","1",1.2196358442487,1.37142486434133e-09
"209","Fm.16.0","Fm","13","16","1",2938.54241804672,6.3923408273649e-95
"210","Fo.16.0","Fo","14","16","1",2779.33254968963,3.81886871261361e-78
"211","Quant.17.0","Quant","1","17","1",0.0514052336333149,1.02139808097097e-82
"212","Sigma.17.0","Sigma","2","17","1",3.47869786966689,3.81063550858956e-31
"213","Connect.17.0","Connect","3","17","1",0.288804392854148,1.21081757053158e-06
"214","Tau1.17.0","Tau1","4","17","1",1574.30513920565,7.80057028993875e-13
"215","Tau2.17.0","Tau2","5","17","1",12308408.6047174,0.00927675365655435
"216","NPQ.17.0","NPQ","6","17","1",0.285081901320831,1.61779189647368e-99
"217","qP.17.0","qP","7","17","1",0.544818549212721,2.04279616194193e-82
"218","ABQ.17.0","ABQ","8","17","1",0.23397886710368,3.81063550858956e-31
"219","qm.17.0","qm","9","17","1",0.869850314639719,1.02139808097097e-82
"220","nTau1.17.0","nTau1","10","17","1",2.4964267213343,7.80057028993875e-13
"221","nTau2.17.0","nTau2","11","17","1",18.524904867706,0.00927675365655435
"222","nCon.17.0","nCon","12","17","1",0.919688640239329,1.21081757053158e-06
"223","Fm.17.0","Fm","13","17","1",2827.31380792708,1.61779189647368e-99
"224","Fo.17.0","Fo","14","17","1",2681.97508107589,2.04279616194193e-82
"225","Quant.18.0","Quant","1","18","1",0.0581895143116008,1.99095033071211e-77
"226","Sigma.18.0","Sigma","2","18","1",3.74495808550199,6.00348250381344e-29
"227","Connect.18.0","Connect","3","18","1",0.265263148169453,4.08251210979327e-05
"228","Tau1.18.0","Tau1","4","18","1",1327.9627003341,1.72226770252067e-12
"229","Tau2.18.0","Tau2","5","18","1",9293295.10343854,0.000231336850710212
"230","NPQ.18.0","NPQ","6","18","1",0.307792300612656,4.08170075821333e-96
"231","qP.18.0","qP","7","18","1",0.582284136509252,3.98190066142421e-77
"232","ABQ.18.0","ABQ","8","18","1",0.175347459657318,6.00348250381344e-29
"233","qm.18.0","qm","9","18","1",0.852673620103649,1.99095033071211e-77
"234","nTau1.18.0","nTau1","10","18","1",2.10579352597555,1.72226770252067e-12
"235","nTau2.18.0","nTau2","11","18","1",13.9869753456783,0.000231336850710212
"236","nCon.18.0","nCon","12","18","1",0.844722275982735,4.08251210979327e-05
"237","Fm.18.0","Fm","13","18","1",2778.21623679806,4.08170075821333e-96
"238","Fo.18.0","Fo","14","18","1",2616.55318332618,3.98190066142421e-77
"239","Quant.19.0","Quant","1","19","1",0.0551437005547401,2.50827898406412e-80
"240","Sigma.19.0","Sigma","2","19","1",3.30504207529416,8.82693561186724e-31
"241","Connect.19.0","Connect","3","19","1",0.384348994594282,3.03249432475092e-10
"242","Tau1.19.0","Tau1","4","19","1",1340.71945846985,1.0772908917886e-12
"243","Tau2.19.0","Tau2","5","19","1",7852708.47590718,8.18815723682173e-06
"244","NPQ.19.0","NPQ","6","19","1",0.343655753069632,1.63360449263634e-96
"245","qP.19.0","qP","7","19","1",0.617562287085815,5.01655796812824e-80
"246","ABQ.19.0","ABQ","8","19","1",0.272218465172639,8.82693561186724e-31
"247","qm.19.0","qm","9","19","1",0.86038512482998,2.50827898406412e-80
"248","nTau1.19.0","nTau1","10","19","1",2.12602233111289,1.0772908917886e-12
"249","nTau2.19.0","nTau2","11","19","1",11.8188047002482,8.18815723682173e-06
"250","nCon.19.0","nCon","12","19","1",1.22394746396494,3.03249432475092e-10
"251","Fm.19.0","Fm","13","19","1",2704.06299799714,1.63360449263634e-96
"252","Fo.19.0","Fo","14","19","1",2554.95095775443,5.01655796812824e-80
"253","Quant.20.0","Quant","1","20","1",0.0597629501377147,1.17009071956568e-78
"254","Sigma.20.0","Sigma","2","20","1",3.54196065248959,3.71426983727106e-29
"255","Connect.20.0","Connect","3","20","1",0.313877532787569,2.63646708406908e-06
"256","Tau1.20.0","Tau1","4","20","1",1139.81778349533,3.59661993691283e-11
"257","Tau2.20.0","Tau2","5","20","1",8901532.72262742,0.000822886860872107
"258","NPQ.20.0","NPQ","6","20","1",0.379100505325551,4.59558426484557e-95
"259","qP.20.0","qP","7","20","1",0.662136805038199,2.34018143913135e-78
"260","ABQ.20.0","ABQ","8","20","1",0.220048186606651,3.71426983727106e-29
