"","uni","metric","metrix","stage","col","ASnormalized.icra2.002r","pval"
"178","nTau1.14.0","nTau1","10","14","1",1.73731961804312,1.45918067060766e-18
"179","nTau2.14.0","nTau2","11","14","1",1.67372026922367,1.31816055461545e-07
"180","nCon.14.0","nCon","12","14","1",0.824252388369077,3.38013437521435e-05
"181","Fm.14.0","Fm","13","14","1",2235.43550240357,9.91445107822993e-93
"182","Fo.14.0","Fo","14","14","1",1955.06914209929,2.74263565901106e-69
"183","Quant.15.0","Quant","1","15","1",0.129793427824311,3.38909135046969e-72
"184","Sigma.15.0","Sigma","2","15","1",4.97862188890795,3.22411270358189e-38
"185","Connect.15.0","Connect","3","15","1",0.156786202937274,0.000238148861204172
"186","Tau1.15.0","Tau1","4","15","1",1230.54842410599,2.12898936614187e-19
"187","Tau2.15.0","Tau2","5","15","1",3387466.39406831,1.84170252958671e-08
"188","NPQ.15.0","NPQ","6","15","1",0.130020572830166,1.44674583791393e-95
"189","qP.15.0","qP","7","15","1",0.602249395456102,6.77818270093937e-72
"190","ABQ.15.0","ABQ","8","15","1",0.0486812376110574,3.22411270358189e-38
"191","qm.15.0","qm","9","15","1",0.531880034544655,3.38909135046969e-72
"192","nTau1.15.0","nTau1","10","15","1",1.53096046932557,2.12898936614187e-19
"193","nTau2.15.0","nTau2","11","15","1",1.58489621945268,1.84170252958671e-08
"194","nCon.15.0","nCon","12","15","1",0.622569089262092,0.000238148861204172
"195","Fm.15.0","Fm","13","15","1",2258.73416803269,1.44674583791393e-95
"196","Fo.15.0","Fo","14","15","1",1965.56531781984,6.77818270093937e-72
"197","Quant.16.0","Quant","1","16","1",0.0476756360694747,5.61119791973668e-76
"198","Sigma.16.0","Sigma","2","16","1",3.62020704983214,4.81810711749241e-24
"199","Connect.16.0","Connect","3","16","1",0.272219078448194,0.00102676381941707
"200","Tau1.16.0","Tau1","4","16","1",1332.67632210502,5.7319532846151e-11
"201","Tau2.16.0","Tau2","5","16","1",8898966.31890755,8.48826625714959e-05
"202","NPQ.16.0","NPQ","6","16","1",0.0843831001646999,6.25002733371506e-94
"203","qP.16.0","qP","7","16","1",0.318995509042244,1.12223958394734e-75
"204","ABQ.16.0","ABQ","8","16","1",0.308248152383095,4.81810711749241e-24
"205","qm.16.0","qm","9","16","1",0.828050483880326,5.61119791973668e-76
"206","nTau1.16.0","nTau1","10","16","1",1.65802070652462,5.7319532846151e-11
"207","nTau2.16.0","nTau2","11","16","1",4.16356546018295,8.48826625714959e-05
"208","nCon.16.0","nCon","12","16","1",1.08093174382863,0.00102676381941707
"209","Fm.16.0","Fm","13","16","1",2353.79551566573,6.25002733371506e-94
"210","Fo.16.0","Fo","14","16","1",2241.57681727889,1.12223958394734e-75
"211","Quant.17.0","Quant","1","17","1",0.0487593033462526,1.23211337841189e-79
"212","Sigma.17.0","Sigma","2","17","1",3.63006717451989,8.66775152750695e-29
"213","Connect.17.0","Connect","3","17","1",0.31596997728991,7.83269213623173e-07
"214","Tau1.17.0","Tau1","4","17","1",1735.37795206265,9.17957988547928e-10
"215","Tau2.17.0","Tau2","5","17","1",10513469.5683082,0.00670864139692381
"216","NPQ.17.0","NPQ","6","17","1",0.128153332428926,4.02807917169819e-98
"217","qP.17.0","qP","7","17","1",0.410762600832613,2.46422675682377e-79
"218","ABQ.17.0","ABQ","8","17","1",0.306364072446066,8.66775152750695e-29
"219","qm.17.0","qm","9","17","1",0.82414207113036,1.23211337841189e-79
"220","nTau1.17.0","nTau1","10","17","1",2.15903331547256,9.17957988547928e-10
"221","nTau2.17.0","nTau2","11","17","1",4.9189442001019,0.00670864139692381
"222","nCon.17.0","nCon","12","17","1",1.25465849233075,7.83269213623173e-07
"223","Fm.17.0","Fm","13","17","1",2262.47266666845,4.02807917169819e-98
"224","Fo.17.0","Fo","14","17","1",2152.15607560176,2.46422675682377e-79
"225","Quant.18.0","Quant","1","18","1",0.0579160306819438,1.53317657018225e-77
"226","Sigma.18.0","Sigma","2","18","1",3.57114681033662,7.27040400235323e-28
"227","Connect.18.0","Connect","3","18","1",0.435361191742435,1.18617312360619e-09
"228","Tau1.18.0","Tau1","4","18","1",1426.84818406168,5.0020152545587e-13
"229","Tau2.18.0","Tau2","5","18","1",11656763.2066578,0.000516276765054751
"230","NPQ.18.0","NPQ","6","18","1",0.141735133903774,1.81090460458672e-93
"231","qP.18.0","qP","7","18","1",0.458043426569858,3.0663531403645e-77
"232","ABQ.18.0","ABQ","8","18","1",0.317622619326119,7.27040400235323e-28
