"","uni","metric","metrix","stage","col","ASnormalized.ahya3.002r","pval"
"1136","Sigma.5.3","Sigma","2","5","4",2.80317285700001,1.85519728671335e-30
"1137","Connect.5.3","Connect","3","5","4",0.359151934704414,8.98535188789723e-08
"1138","Tau1.5.3","Tau1","4","5","4",1876.90787449564,1.58721011486199e-08
"1139","Tau2.5.3","Tau2","5","5","4",4406298.31278636,1.20465866326851e-08
"1140","NPQ.5.3","NPQ","6","5","4",0.213856529659444,1.55043513239394e-106
"1141","qP.5.3","qP","7","5","4",0.457276573332975,2.21037257975453e-88
"1142","ABQ.5.3","ABQ","8","5","4",0.187413584064067,1.85519728671335e-30
"1143","qm.5.3","qm","9","5","4",0.858989378782471,1.10518628987726e-88
"1144","nTau1.5.3","nTau1","10","5","4",2.83885028386815,1.58721011486199e-08
"1145","nTau2.5.3","nTau2","11","5","4",4.55172706626818,1.20465866326851e-08
"1146","nCon.5.3","nCon","12","5","4",0.891931745920243,8.98535188789723e-08
"1147","Fm.5.3","Fm","13","5","4",2312.32304872144,1.55043513239394e-106
"1148","Fo.5.3","Fo","14","5","4",2191.7657101065,2.21037257975453e-88
"1149","Quant.6.3","Quant","1","6","4",0.0539384872465225,5.25558625223731e-95
"1150","Sigma.6.3","Sigma","2","6","4",2.8392999191091,3.39179276641741e-36
"1151","Connect.6.3","Connect","3","6","4",0.538057389856196,3.70835284131788e-19
"1152","Tau1.6.3","Tau1","4","6","4",1455.7176612123,8.49205284760192e-10
"1153","Tau2.6.3","Tau2","5","6","4",6681940.85221904,3.01797768772177e-05
"1154","NPQ.6.3","NPQ","6","6","4",0.237781326215019,8.57349812922491e-111
"1155","qP.6.3","qP","7","6","4",0.491810067976768,1.05111725044746e-94
"1156","ABQ.6.3","ABQ","8","6","4",0.176941036913002,3.39179276641741e-36
"1157","qm.6.3","qm","9","6","4",0.854116745277322,5.25558625223731e-95
"1158","nTau1.6.3","nTau1","10","6","4",2.20179399954562,8.49205284760192e-10
"1159","nTau2.6.3","nTau2","11","6","4",6.90247660808416,3.01797768772177e-05
"1160","nCon.6.3","nCon","12","6","4",1.33623244305978,3.70835284131788e-19
"1161","Fm.6.3","Fm","13","6","4",2267.62867715534,8.57349812922491e-111
"1162","Fo.6.3","Fo","14","6","4",2145.31621667275,1.05111725044746e-94
"1163","Quant.7.3","Quant","1","7","4",0.0575274460900564,1.55677362783619e-97
"1164","Sigma.7.3","Sigma","2","7","4",2.74739033167184,5.0319080485449e-39
"1165","Connect.7.3","Connect","3","7","4",0.368345108280231,2.43829872340159e-12
"1166","Tau1.7.3","Tau1","4","7","4",1407.1403691596,1.41068030492577e-11
"1167","Tau2.7.3","Tau2","5","7","4",7549467.37871759,5.22811555245126e-08
"1168","NPQ.7.3","NPQ","6","7","4",0.250763452097948,4.95437095390675e-113
"1169","qP.7.3","qP","7","7","4",0.514352594528169,3.11354725567237e-97
"1170","ABQ.7.3","ABQ","8","7","4",0.203583875601771,5.0319080485449e-39
"1171","qm.7.3","qm","9","7","4",0.844409965871968,1.55677362783619e-97
"1172","nTau1.7.3","nTau1","10","7","4",2.12832014331259,1.41068030492577e-11
"1173","nTau2.7.3","nTau2","11","7","4",7.79863562662143,5.22811555245126e-08
"1174","nCon.7.3","nCon","12","7","4",0.9147624272161,2.43829872340159e-12
"1175","Fm.7.3","Fm","13","7","4",2244.09213961646,4.95437095390675e-113
"1176","Fo.7.3","Fo","14","7","4",2114.99525003355,3.11354725567237e-97
"1177","Quant.8.3","Quant","1","8","4",0.0537099177695044,1.69978561608173e-87
"1178","Sigma.8.3","Sigma","2","8","4",3.31715486844619,4.92515259124453e-30
"1179","Connect.8.3","Connect","3","8","4",0.36916485253104,5.63986631188821e-08
"1180","Tau1.8.3","Tau1","4","8","4",1177.05658638273,5.21676269809144e-11
"1181","Tau2.8.3","Tau2","5","8","4",6852111.4431216,8.5426046549942e-06
"1182","NPQ.8.3","NPQ","6","8","4",0.267484774483253,2.62432086079886e-108
"1183","qP.8.3","qP","7","8","4",0.528811660705832,3.39957123216347e-87
"1184","ABQ.8.3","ABQ","8","8","4",0.0384199893616781,4.92515259124453e-30
"1185","qm.8.3","qm","9","8","4",0.854734939463696,1.69978561608173e-87
"1186","nTau1.8.3","nTau1","10","8","4",1.7803150968608,5.21676269809144e-11
"1187","nTau2.8.3","nTau2","11","8","4",7.07826363599517,8.5426046549942e-06
"1188","nCon.8.3","nCon","12","8","4",0.916798211657671,5.63986631188821e-08
"1189","Fm.8.3","Fm","13","8","4",2214.48690183823,2.62432086079886e-108
"1190","Fo.8.3","Fo","14","8","4",2095.54699243886,3.39957123216347e-87
"1191","Quant.9.3","Quant","1","9","4",0.0559260746386617,9.08132267631219e-94
"1192","Sigma.9.3","Sigma","2","9","4",3.2470400707981,2.62522648079538e-35
"1193","Connect.9.3","Connect","3","9","4",0.343045237784259,3.04428064482372e-09
"1194","Tau1.9.3","Tau1","4","9","4",1238.03824778985,7.09896787198589e-12
"1195","Tau2.9.3","Tau2","5","9","4",14572304.012804,0.0246521132287689
"1196","NPQ.9.3","NPQ","6","9","4",0.277440429176425,4.89365933269611e-113
"1197","qP.9.3","qP","7","9","4",0.544573768268552,1.81626453526244e-93
"1198","ABQ.9.3","ABQ","8","9","4",0.0587449336413944,2.62522648079538e-35
"1199","qm.9.3","qm","9","9","4",0.848741071382616,9.08132267631219e-94
"1200","nTau1.9.3","nTau1","10","9","4",1.87255074100122,7.09896787198589e-12
"1201","nTau2.9.3","nTau2","11","9","4",15.0532591950236,0.0246521132287689
"1202","nCon.9.3","nCon","12","9","4",0.851931754504841,3.04428064482372e-09
"1203","Fm.9.3","Fm","13","9","4",2197.22843215643,4.89365933269611e-113
"1204","Fo.9.3","Fo","14","9","4",2074.34607086146,1.81626453526244e-93
"1205","Quant.10.3","Quant","1","10","4",0.0972508758186691,3.82980509554238e-84
"1206","Sigma.10.3","Sigma","2","10","4",3.9421905045373,6.36091718259861e-39
"1207","Connect.10.3","Connect","3","10","4",0.292087690169462,2.56015323683467e-09
"1208","Tau1.10.3","Tau1","4","10","4",1278.08522127472,3.16725467060894e-16
"1209","Tau2.10.3","Tau2","5","10","4",4825874.37837762,7.25783409093409e-06
"1210","NPQ.10.3","NPQ","6","10","4",0.317658722811738,1.37547798972425e-108
"1211","qP.10.3","qP","7","10","4",0.657091659877708,7.65961019108475e-84
"1212","ABQ.10.3","ABQ","8","10","4",-0.142765935757142,6.36091718259861e-39
"1213","qm.10.3","qm","9","10","4",0.73697307779107,3.82980509554238e-84
"1214","nTau1.10.3","nTau1","10","10","4",1.93312236712652,3.16725467060894e-16
"1215","nTau2.10.3","nTau2","11","10","4",4.98515113303374,7.25783409093409e-06
"1216","nCon.10.3","nCon","12","10","4",0.725381818335664,2.56015323683467e-09
"1217","Fm.10.3","Fm","13","10","4",2130.16343517469,1.37547798972425e-108
"1218","Fo.10.3","Fo","14","10","4",1923.00317546705,7.65961019108475e-84
"1219","Quant.11.3","Quant","1","11","4",0.105206538716988,2.21584161682692e-84
"1220","Sigma.11.3","Sigma","2","11","4",3.72464046544765,4.33095421910114e-41
"1221","Connect.11.3","Connect","3","11","4",0.332670921899109,1.2661364801722e-12
"1222","Tau1.11.3","Tau1","4","11","4",1097.14009373403,1.94974222766814e-18
"1223","Tau2.11.3","Tau2","5","11","4",3743396.62379031,2.43005337962941e-08
"1224","NPQ.11.3","NPQ","6","11","4",0.315162112827957,6.22716186866772e-108
"1225","qP.11.3","qP","7","11","4",0.667000941088137,4.43168323365384e-84
"1226","ABQ.11.3","ABQ","8","11","4",-0.0797023233548113,4.33095421910114e-41
"1227","qm.11.3","qm","9","11","4",0.715456011660187,2.21584161682692e-84
"1228","nTau1.11.3","nTau1","10","11","4",1.6594402468352,1.94974222766814e-18
"1229","nTau2.11.3","nTau2","11","11","4",3.86694647587503,2.43005337962941e-08
"1230","nCon.11.3","nCon","12","11","4",0.826167778911096,1.2661364801722e-12
"1231","Fm.11.3","Fm","13","11","4",2134.20718555913,6.22716186866772e-108
"1232","Fo.11.3","Fo","14","11","4",1909.67463466153,4.43168323365384e-84
"1233","Quant.12.3","Quant","1","12","4",0.119962486731596,2.2845502900226e-89
"1234","Sigma.12.3","Sigma","2","12","4",4.11053253255649,2.40250198082021e-48
"1235","Connect.12.3","Connect","3","12","4",0.263399594417136,2.2673086182467e-13
"1236","Tau1.12.3","Tau1","4","12","4",1289.37905341352,2.85512936800388e-18
"1237","Tau2.12.3","Tau2","5","12","4",3818618.43643705,1.72391271403299e-07
