"","uni","metric","metrix","stage","col","ASnormalized.aglo6.005r","pval"
"1298","nTau1.16.3","nTau1","10","16","4",1.62368908766804,1.44752499373888e-09
"1299","nTau2.16.3","nTau2","11","16","4",5.77127794041133,3.7815711157247e-07
"1300","nCon.16.3","nCon","12","16","4",1.21901669048984,2.09129410548682e-13
"1301","Fm.16.3","Fm","13","16","4",2655.46732467003,5.63031563303155e-108
"1302","Fo.16.3","Fo","14","16","4",2520.5824888004,3.09491167997391e-87
"1303","Quant.17.3","Quant","1","17","4",0.0503147857274013,4.22616728925567e-95
"1304","Sigma.17.3","Sigma","2","17","4",3.21529685867162,1.1562344260669e-35
"1305","Connect.17.3","Connect","3","17","4",0.249510675070087,3.6942217249462e-06
"1306","Tau1.17.3","Tau1","4","17","4",1515.20935026173,3.62976035514783e-12
"1307","Tau2.17.3","Tau2","5","17","4",7066480.34594712,2.69870338557668e-07
"1308","NPQ.17.3","NPQ","6","17","4",0.246124297360784,6.36821582429013e-116
"1309","qP.17.3","qP","7","17","4",0.511703224110902,8.45233457851133e-95
"1310","ABQ.17.3","ABQ","8","17","4",0.176835180586613,1.1562344260669e-35
"1311","qm.17.3","qm","9","17","4",0.862434689471176,4.22616728925567e-95
"1312","nTau1.17.3","nTau1","10","17","4",2.13964927875198,3.62976035514783e-12
"1313","nTau2.17.3","nTau2","11","17","4",6.71224071390408,2.69870338557668e-07
"1314","nCon.17.3","nCon","12","17","4",0.636462205268363,3.6942217249462e-06
"1315","Fm.17.3","Fm","13","17","4",2568.40223575699,6.36821582429013e-116
"1316","Fo.17.3","Fo","14","17","4",2439.1736276031,8.45233457851133e-95
"1317","Quant.18.3","Quant","1","18","4",0.0479775815943673,3.20021804034752e-87
"1318","Sigma.18.3","Sigma","2","18","4",3.14766294680971,5.14869759524357e-27
"1319","Connect.18.3","Connect","3","18","4",0.283970354287029,0.000339743628980572
"1320","Tau1.18.3","Tau1","4","18","4",1108.57938914127,1.3192081129829e-09
"1321","Tau2.18.3","Tau2","5","18","4",5959918.90033024,1.50083521294736e-08
"1322","NPQ.18.3","NPQ","6","18","4",0.269187475052048,3.12257258540192e-107
"1323","qP.18.3","qP","7","18","4",0.537531119232535,6.40043608069505e-87
"1324","ABQ.18.3","ABQ","8","18","4",0.194150489029715,5.14869759524357e-27
"1325","qm.18.3","qm","9","18","4",0.868824823259522,3.20021804034752e-87
"1326","nTau1.18.3","nTau1","10","18","4",1.56544116494906,1.3192081129829e-09
"1327","nTau2.18.3","nTau2","11","18","4",5.66115071943942,1.50083521294736e-08
"1328","nCon.18.3","nCon","12","18","4",0.724363387937579,0.000339743628980572
"1329","Fm.18.3","Fm","13","18","4",2521.73023630043,3.12257258540192e-107
"1330","Fo.18.3","Fo","14","18","4",2400.74371812935,6.40043608069505e-87
"1331","Quant.19.3","Quant","1","19","4",0.0500153342593306,1.31960798811521e-85
"1332","Sigma.19.3","Sigma","2","19","4",3.10171304220259,1.0925813901142e-27
"1333","Connect.19.3","Connect","3","19","4",0.365811484288079,5.1461515322235e-07
"1334","Tau1.19.3","Tau1","4","19","4",1394.8113221027,1.85612012724446e-09
"1335","Tau2.19.3","Tau2","5","19","4",14995763.2996893,0.0239932443094752
"1336","NPQ.19.3","NPQ","6","19","4",0.303160266753929,3.73758446894567e-106
"1337","qP.19.3","qP","7","19","4",0.582957533733032,2.63921597623042e-85
"1338","ABQ.19.3","ABQ","8","19","4",0.205914362348586,1.0925813901142e-27
"1339","qm.19.3","qm","9","19","4",0.863253417675975,1.31960798811521e-85
"1340","nTau1.19.3","nTau1","10","19","4",1.96963346274007,1.85612012724446e-09
"1341","nTau2.19.3","nTau2","11","19","4",14.2440321105503,0.0239932443094752
"1342","nCon.19.3","nCon","12","19","4",0.933127145510242,5.1461515322235e-07
"1343","Fm.19.3","Fm","13","19","4",2455.98988322815,3.73758446894567e-106
"1344","Fo.19.3","Fo","14","19","4",2333.15272828096,2.63921597623042e-85
"1345","Quant.20.3","Quant","1","20","4",0.0483242618323019,2.48611631133469e-86
"1346","Sigma.20.3","Sigma","2","20","4",2.74618769854088,8.87660051903105e-29
"1347","Connect.20.3","Connect","3","20","4",0.589969194891892,4.23654993984001e-18
"1348","Tau1.20.3","Tau1","4","20","4",1201.38824886359,1.07638027764748e-07
"1349","Tau2.20.3","Tau2","5","20","4",10798702.3309394,0.00264407462325089
"1350","NPQ.20.3","NPQ","6","20","4",0.334814439947805,4.82547413284491e-105
"1351","qP.20.3","qP","7","20","4",0.61741785322549,4.97223262266938e-86
"1352","ABQ.20.3","ABQ","8","20","4",0.296934248902106,8.87660051903105e-29
"1353","qm.20.3","qm","9","20","4",0.867876967198998,2.48611631133469e-86
"1354","nTau1.20.3","nTau1","10","20","4",1.6964979128053,1.07638027764748e-07
"1355","nTau2.20.3","nTau2","11","20","4",10.257368009894,0.00264407462325089
"1356","nCon.20.3","nCon","12","20","4",1.50491795477616,4.23654993984001e-18
"1357","Fm.20.3","Fm","13","20","4",2397.7478333975,4.82547413284491e-105
"1358","Fo.20.3","Fo","14","20","4",2281.87843928857,4.97223262266938e-86
"1359","Quant.21.3","Quant","1","21","4",0.0496002950474546,4.56031318947046e-86
"1360","Sigma.21.3","Sigma","2","21","4",2.83395759608576,8.46474036115351e-28
"1361","Connect.21.3","Connect","3","21","4",0.397164854500618,4.90545745712928e-08
"1362","Tau1.21.3","Tau1","4","21","4",1504.02603180278,1.10899884614125e-09
