"","uni","metric","metrix","stage","col","ASnormalized.t3_aabr2.002r","pval"
"119","qP.10.0","qP","7","10","1",0.706597952684173,2.90988487508596e-75
"120","ABQ.10.0","ABQ","8","10","1",0.00885605707468018,2.63121890907629e-35
"121","qm.10.0","qm","9","10","1",0.7424831296541,1.45494243754298e-75
"122","nTau1.10.0","nTau1","10","10","1",2.08395860017813,1.62996123694224e-18
"123","nTau2.10.0","nTau2","11","10","1",4.20562236957468,4.81353288661775e-09
"124","nCon.10.0","nCon","12","10","1",0.654708052989286,1.54719782890965e-05
"125","Fm.10.0","Fm","13","10","1",2477.59160362869,1.64692793247107e-95
"126","Fo.10.0","Fo","14","10","1",2235.8090716955,2.90988487508596e-75
"127","Quant.11.0","Quant","1","11","1",0.109942048745931,5.28139646154255e-80
"128","Sigma.11.0","Sigma","2","11","1",4.0700535512384,2.82543302620685e-41
"129","Connect.11.0","Connect","3","11","1",0.194615569907035,2.24262921106268e-07
"130","Tau1.11.0","Tau1","4","11","1",1493.6248887067,8.79022967277542e-19
"131","Tau2.11.0","Tau2","5","11","1",4243927.28105043,9.18477984976641e-08
"132","NPQ.11.0","NPQ","6","11","1",0.378745949753035,1.00483507248264e-99
"133","qP.11.0","qP","7","11","1",0.70320743696343,1.05627929230851e-79
"134","ABQ.11.0","ABQ","8","11","1",0.0161907919514814,2.82543302620685e-41
"135","qm.11.0","qm","9","11","1",0.709882243274475,5.28139646154255e-80
"136","nTau1.11.0","nTau1","10","11","1",2.4914142059071,8.79022967277542e-19
"137","nTau2.11.0","nTau2","11","11","1",4.21786393031038,9.18477984976641e-08
"138","nCon.11.0","nCon","12","11","1",0.599983552633382,2.24262921106268e-07
"139","Fm.11.0","Fm","13","11","1",2518.64896462292,1.00483507248264e-99
"140","Fo.11.0","Fo","14","11","1",2241.74353738046,1.05627929230851e-79
"141","Quant.12.0","Quant","1","12","1",0.115367824896834,5.48972252880519e-76
"142","Sigma.12.0","Sigma","2","12","1",4.25100710759157,1.71052108714991e-39
"143","Connect.12.0","Connect","3","12","1",0.229719492951656,2.82779811746593e-08
"144","Tau1.12.0","Tau1","4","12","1",1299.89213981825,5.32984697169423e-18
"145","Tau2.12.0","Tau2","5","12","1",3700639.48015973,1.55266949911412e-08
"146","NPQ.12.0","NPQ","6","12","1",0.374322770931489,7.42636129602878e-97
"147","qP.12.0","qP","7","12","1",0.70691802055795,1.09794450576104e-75
"148","ABQ.12.0","ABQ","8","12","1",-0.0275491177888232,1.71052108714991e-39
"149","qm.12.0","qm","9","12","1",0.69556457298044,5.48972252880519e-76
"150","nTau1.12.0","nTau1","10","12","1",2.16826176892003,5.32984697169423e-18
"151","nTau2.12.0","nTau2","11","12","1",3.67791263816964,1.55266949911412e-08
"152","nCon.12.0","nCon","12","12","1",0.70820601638457,2.82779811746593e-08
"153","Fm.12.0","Fm","13","12","1",2526.75509150582,7.42636129602878e-97
"154","Fo.12.0","Fo","14","12","1",2235.24885255179,1.09794450576104e-75
"155","Quant.13.0","Quant","1","13","1",0.118988998096757,6.8613191528563e-74
"156","Sigma.13.0","Sigma","2","13","1",4.5529596584568,2.95302618000311e-38
