"","uni","metric","metrix","stage","col","ASnormalized.t10_icra3.002r","pval"
"153","Fm.12.0","Fm","13","12","1",2404.16196774325,6.37854292969378e-97
"154","Fo.12.0","Fo","14","12","1",2110.79386500994,6.82449723898001e-74
"155","Quant.13.0","Quant","1","13","1",0.129784162012576,1.07033200136833e-70
"156","Sigma.13.0","Sigma","2","13","1",4.98756894768016,8.68421540585228e-37
"157","Connect.13.0","Connect","3","13","1",0.184531543358606,6.05380166474443e-05
"158","Tau1.13.0","Tau1","4","13","1",1266.41954547066,1.41454672645865e-18
"159","Tau2.13.0","Tau2","5","13","1",3242745.83351489,2.21584931922322e-08
"160","NPQ.13.0","NPQ","6","13","1",0.285484333006035,4.53685052899208e-94
"161","qP.13.0","qP","7","13","1",0.688679698895136,2.14066400273667e-70
"162","ABQ.13.0","ABQ","8","13","1",-0.0845891391345315,8.68421540585228e-37
"163","qm.13.0","qm","9","13","1",0.634570444057413,1.07033200136833e-70
"164","nTau1.13.0","nTau1","10","13","1",1.94198964646913,1.41454672645865e-18
"165","nTau2.13.0","nTau2","11","13","1",3.12773409703414,2.21584931922322e-08
"166","nCon.13.0","nCon","12","13","1",0.612627960834436,6.05380166474443e-05
"167","Fm.13.0","Fm","13","13","1",2441.06848566541,4.53685052899208e-94
"168","Fo.13.0","Fo","14","13","1",2124.25645783801,2.14066400273667e-70
"169","Quant.14.0","Quant","1","14","1",0.136635804017875,1.2270064715361e-69
"170","Sigma.14.0","Sigma","2","14","1",4.87220729970413,3.72316541810597e-37
"171","Connect.14.0","Connect","3","14","1",0.268275001217788,1.60616086072345e-08
"172","Tau1.14.0","Tau1","4","14","1",1347.61170206882,1.47614153829004e-16
"173","Tau2.14.0","Tau2","5","14","1",2935765.22286708,1.24347202873999e-07
"174","NPQ.14.0","NPQ","6","14","1",0.275899225157852,1.72162058286122e-92
"175","qP.14.0","qP","7","14","1",0.689286134678916,2.45401294307221e-69
"176","ABQ.14.0","ABQ","8","14","1",-0.0595027710502036,3.72316541810597e-37
"177","qm.14.0","qm","9","14","1",0.615278471472718,1.2270064715361e-69
"178","nTau1.14.0","nTau1","10","14","1",2.06649366889364,1.47614153829004e-16
"179","nTau2.14.0","nTau2","11","14","1",2.83164128793143,1.24347202873999e-07
"180","nCon.14.0","nCon","12","14","1",0.890648633548343,1.60616086072345e-08
"181","Fm.14.0","Fm","13","14","1",2459.40684988615,1.72162058286122e-92
"182","Fo.14.0","Fo","14","14","1",2123.36381754488,2.45401294307221e-69
"183","Quant.15.0","Quant","1","15","1",0.142412930025646,5.62007729475158e-73
"184","Sigma.15.0","Sigma","2","15","1",4.70521744495938,4.52785755501332e-41
"185","Connect.15.0","Connect","3","15","1",0.236061761753373,3.37988004719546e-09
"186","Tau1.15.0","Tau1","4","15","1",1246.59756682971,1.0862101620316e-17
