"","uni","metric","metrix","stage","col","ASnormalized.aabr6.005r","pval"
"193","nTau2.15.0","nTau2","11","15","1",3.00527009736594,1.02941841210659e-07
"194","nCon.15.0","nCon","12","15","1",0.577798555932996,4.29809329206669e-07
"195","Fm.15.0","Fm","13","15","1",3063.73546069542,3.48158977718182e-97
"196","Fo.15.0","Fo","14","15","1",2693.58044043123,1.97735259827635e-75
"197","Quant.16.0","Quant","1","16","1",0.043589107226256,1.07912064064833e-81
"198","Sigma.16.0","Sigma","2","16","1",3.02268322194023,7.16434325777085e-29
"199","Connect.16.0","Connect","3","16","1",0.420759217083084,7.84783682734535e-11
"200","Tau1.16.0","Tau1","4","16","1",1660.89290910253,2.17780402027781e-10
"201","Tau2.16.0","Tau2","5","16","1",16392670.8344636,0.0212889261323238
"202","NPQ.16.0","NPQ","6","16","1",0.0871335658887125,1.92827793834314e-97
"203","qP.16.0","qP","7","16","1",0.301164998064995,2.15824128129665e-81
"204","ABQ.16.0","ABQ","8","16","1",0.257831728127366,7.16434325777085e-29
"205","qm.16.0","qm","9","16","1",0.875916833113586,1.07912064064833e-81
"206","nTau1.16.0","nTau1","10","16","1",2.34874467948454,2.17780402027781e-10
"207","nTau2.16.0","nTau2","11","16","1",12.1423169993925,0.0212889261323238
"208","nCon.16.0","nCon","12","16","1",1.21012669738685,7.84783682734535e-11
"209","Fm.16.0","Fm","13","16","1",3148.87674822614,1.92827793834314e-97
"210","Fo.16.0","Fo","14","16","1",3011.62002200545,2.15824128129665e-81
"211","Quant.17.0","Quant","1","17","1",0.0417565920854382,6.76379785763376e-83
"212","Sigma.17.0","Sigma","2","17","1",3.18714912405993,6.72561749397414e-27
"213","Connect.17.0","Connect","3","17","1",0.321802550349986,1.64598334559376e-05
"214","Tau1.17.0","Tau1","4","17","1",1176.39294451901,6.91072045064903e-11
"215","Tau2.17.0","Tau2","5","17","1",10958273.9417811,0.000259541597526261
"216","NPQ.17.0","NPQ","6","17","1",0.127636816995681,1.28303638275488e-97
"217","qP.17.0","qP","7","17","1",0.376238940142143,1.35275957152675e-82
"218","ABQ.17.0","ABQ","8","17","1",0.217449933081109,6.72561749397414e-27
"219","qm.17.0","qm","9","17","1",0.881133372210377,6.76379785763376e-83
"220","nTau1.17.0","nTau1","10","17","1",1.66359110468791,6.91072045064903e-11
"221","nTau2.17.0","nTau2","11","17","1",8.11697113368181,0.000259541597526261
"222","nCon.17.0","nCon","12","17","1",0.92552187012174,1.64598334559376e-05
"223","Fm.17.0","Fm","13","17","1",3035.77318179764,1.28303638275488e-97
"224","Fo.17.0","Fo","14","17","1",2909.0096393814,1.35275957152675e-82
"225","Quant.18.0","Quant","1","18","1",0.0417208666779404,1.32356615206084e-79
"226","Sigma.18.0","Sigma","2","18","1",3.07499003970902,3.3072795804756e-26
"227","Connect.18.0","Connect","3","18","1",0.458399798216939,1.55660630213414e-10
"228","Tau1.18.0","Tau1","4","18","1",1175.67658525053,2.3576076214776e-11
"229","Tau2.18.0","Tau2","5","18","1",10317503.4674295,0.000186341048957178
"230","NPQ.18.0","NPQ","6","18","1",0.154362908398113,1.41784989328512e-95
"231","qP.18.0","qP","7","18","1",0.425437508655595,2.64713230412168e-79
"232","ABQ.18.0","ABQ","8","18","1",0.244988681833651,3.3072795804756e-26
"233","qm.18.0","qm","9","18","1",0.881235070134072,1.32356615206084e-79
"234","nTau1.18.0","nTau1","10","18","1",1.66257806825959,2.3576076214776e-11
"235","nTau2.18.0","nTau2","11","18","1",7.64234205694402,0.000186341048957178
"236","nCon.18.0","nCon","12","18","1",1.31838308319109,1.55660630213414e-10
"237","Fm.18.0","Fm","13","18","1",2965.48822119858,1.41784989328512e-95
"238","Fo.18.0","Fo","14","18","1",2841.76548248695,2.64713230412168e-79
"239","Quant.19.0","Quant","1","19","1",0.0465340417348032,8.46230901588936e-82
"240","Sigma.19.0","Sigma","2","19","1",3.37377385755088,1.4673556288631e-27
"241","Connect.19.0","Connect","3","19","1",0.366694818557215,4.56320727825025e-07
"242","Tau1.19.0","Tau1","4","19","1",1468.96223079195,4.1138737561617e-12
"243","Tau2.19.0","Tau2","5","19","1",17796488.2289374,0.00292240692005277
"244","NPQ.19.0","NPQ","6","19","1",0.173789697810144,4.95224987453044e-97
"245","qP.19.0","qP","7","19","1",0.47011865151442,1.69246180317787e-81
"246","ABQ.19.0","ABQ","8","19","1",0.171627415214099,1.4673556288631e-27
"247","qm.19.0","qm","9","19","1",0.867533619431396,8.46230901588936e-82
"248","nTau1.19.0","nTau1","10","19","1",2.07732672288948,4.1138737561617e-12
"249","nTau2.19.0","nTau2","11","19","1",13.1821472982555,0.00292240692005277
"250","nCon.19.0","nCon","12","19","1",1.05463450760697,4.56320727825025e-07
"251","Fm.19.0","Fm","13","19","1",2916.40795129626,4.95224987453044e-97
"252","Fo.19.0","Fo","14","19","1",2780.69570197493,1.69246180317787e-81
"253","Quant.20.0","Quant","1","20","1",0.0459498454395157,5.63942554997134e-85
"254","Sigma.20.0","Sigma","2","20","1",3.12299852714959,3.11341386685707e-30
"255","Connect.20.0","Connect","3","20","1",0.366552805052643,2.07829583506321e-08
"256","Tau1.20.0","Tau1","4","20","1",1122.04650833638,2.11877493440825e-11
"257","Tau2.20.0","Tau2","5","20","1",9302410.13518781,2.63546876851478e-05
"258","NPQ.20.0","NPQ","6","20","1",0.200808883501724,8.29438635263917e-99
"259","qP.20.0","qP","7","20","1",0.514677417773354,1.12788510999426e-84
