"","uni","metric","metrix","stage","col","ASnormalized.t5_aabr1.002r","pval"
"153","Fm.12.0","Fm","13","12","1",2604.02386974825,4.64251727096797e-97
"154","Fo.12.0","Fo","14","12","1",2328.59528944896,5.22078165036761e-74
"155","Quant.13.0","Quant","1","13","1",0.112688104086431,2.99896063004339e-73
"156","Sigma.13.0","Sigma","2","13","1",4.86785975075233,3.88555314237962e-37
"157","Connect.13.0","Connect","3","13","1",0.277153104849538,3.61561527478682e-09
"158","Tau1.13.0","Tau1","4","13","1",1771.62355568416,2.3032654078665e-19
"159","Tau2.13.0","Tau2","5","13","1",4353633.58432184,1.07244521230966e-06
"160","NPQ.13.0","NPQ","6","13","1",0.239109614552365,7.19939016297694e-96
"161","qP.13.0","qP","7","13","1",0.61224636187515,5.99792126008677e-73
"162","ABQ.13.0","ABQ","8","13","1",-0.176799083375646,3.88555314237962e-37
"163","qm.13.0","qm","9","13","1",0.704296590028617,2.99896063004339e-73
"164","nTau1.13.0","nTau1","10","13","1",2.94416402084184,2.3032654078665e-19
"165","nTau2.13.0","nTau2","11","13","1",4.22169013290614,1.07244521230966e-06
"166","nCon.13.0","nCon","12","13","1",0.861014939303495,3.61561527478682e-09
"167","Fm.13.0","Fm","13","13","1",2619.14491578798,7.19939016297694e-96
"168","Fo.13.0","Fo","14","13","1",2323.99844090021,5.99792126008677e-73
"169","Quant.14.0","Quant","1","14","1",0.123055013737745,7.23161278526561e-70
"170","Sigma.14.0","Sigma","2","14","1",4.90574311744529,3.13575594679052e-35
"171","Connect.14.0","Connect","3","14","1",0.268178923764545,1.45058768889571e-07
"172","Tau1.14.0","Tau1","4","14","1",1629.90076778076,4.61723804986352e-17
"173","Tau2.14.0","Tau2","5","14","1",4062530.31962365,7.22461035423595e-06
"174","NPQ.14.0","NPQ","6","14","1",0.238646871926198,1.16802846341518e-92
"175","qP.14.0","qP","7","14","1",0.629718110661289,1.44632255705312e-69
"176","ABQ.14.0","ABQ","8","14","1",-0.185957340491119,3.13575594679052e-35
"177","qm.14.0","qm","9","14","1",0.677092915252017,7.23161278526561e-70
"178","nTau1.14.0","nTau1","10","14","1",2.70864269254394,4.61723804986352e-17
