"","uni","metric","metrix","stage","col","ASnormalized.t9_icra5.002r","pval"
"154","Fo.12.0","Fo","14","12","1",1875.06974159472,6.54313266869493e-76
"155","Quant.13.0","Quant","1","13","1",0.12839839271021,1.74236044110483e-70
"156","Sigma.13.0","Sigma","2","13","1",4.76809609005854,1.42265184493365e-36
"157","Connect.13.0","Connect","3","13","1",0.225094495996215,1.62908344576756e-06
"158","Tau1.13.0","Tau1","4","13","1",1110.4256393277,8.86285091988878e-22
"159","Tau2.13.0","Tau2","5","13","1",3939413.8786188,1.16621113073727e-08
"160","NPQ.13.0","NPQ","6","13","1",0.295053077747397,3.22979693118496e-93
"161","qP.13.0","qP","7","13","1",0.678516694094715,3.48472088220965e-70
"162","ABQ.13.0","ABQ","8","13","1",-0.058761106970445,1.42265184493365e-36
"163","qm.13.0","qm","9","13","1",0.593138462839692,1.74236044110483e-70
"164","nTau1.13.0","nTau1","10","13","1",1.84715259435059,8.86285091988878e-22
"165","nTau2.13.0","nTau2","11","13","1",2.46970324288809,1.16621113073727e-08
"166","nCon.13.0","nCon","12","13","1",0.818247109152714,1.62908344576756e-06
"167","Fm.13.0","Fm","13","13","1",2158.9094694129,3.22979693118496e-93
"168","Fo.13.0","Fo","14","13","1",1881.70896353343,3.48472088220965e-70
"169","Quant.14.0","Quant","1","14","1",0.135181553097675,1.53662379180771e-70
"170","Sigma.14.0","Sigma","2","14","1",4.85616265738855,3.41779701963371e-38
"171","Connect.14.0","Connect","3","14","1",0.291601223264191,3.32699746871568e-10
"172","Tau1.14.0","Tau1","4","14","1",1003.22613986125,2.73772767112461e-20
"173","Tau2.14.0","Tau2","5","14","1",3558566.95953386,2.71947955333854e-08
"174","NPQ.14.0","NPQ","6","14","1",0.282442261442712,2.9813968565205e-93
"175","qP.14.0","qP","7","14","1",0.675759087992297,3.07324758361543e-70
"176","ABQ.14.0","ABQ","8","14","1",-0.0783163874329809,3.41779701963371e-38
"177","qm.14.0","qm","9","14","1",0.571644369309427,1.53662379180771e-70
"178","nTau1.14.0","nTau1","10","14","1",1.66883013263905,2.73772767112461e-20
"179","nTau2.14.0","nTau2","11","14","1",2.23094212255671,2.71947955333854e-08
"180","nCon.14.0","nCon","12","14","1",1.06000751775526,3.32699746871568e-10
"181","Fm.14.0","Fm","13","14","1",2180.13897155562,2.9813968565205e-93
"182","Fo.14.0","Fo","14","14","1",1885.42439941196,3.07324758361543e-70
"183","Quant.15.0","Quant","1","15","1",0.141543302445286,2.53595907405069e-74
"184","Sigma.15.0","Sigma","2","15","1",4.80408409065299,2.97227354598504e-42
"185","Connect.15.0","Connect","3","15","1",0.233591410035124,1.08333484559953e-09
"186","Tau1.15.0","Tau1","4","15","1",971.756608283552,1.44027560101763e-21
"187","Tau2.15.0","Tau2","5","15","1",3607074.16601058,2.45511912184565e-08
"188","NPQ.15.0","NPQ","6","15","1",0.272005820355088,7.15797574404003e-97
"189","qP.15.0","qP","7","15","1",0.674656122411676,5.07191814810139e-74
"190","ABQ.15.0","ABQ","8","15","1",-0.0667522830347196,2.97227354598504e-42
"191","qm.15.0","qm","9","15","1",0.551485619157162,2.53595907405069e-74
"192","nTau1.15.0","nTau1","10","15","1",1.61648171340412,1.44027560101763e-21
"193","nTau2.15.0","nTau2","11","15","1",2.26135233301701,2.45511912184565e-08
"194","nCon.15.0","nCon","12","15","1",0.849134471894688,1.08333484559953e-09
"195","Fm.15.0","Fm","13","15","1",2198.02638337039,7.15797574404003e-97
"196","Fo.15.0","Fo","14","15","1",1886.91047020627,5.07191814810139e-74
"197","Quant.16.0","Quant","1","16","1",0.0527132664929034,8.16820474028269e-78
"198","Sigma.16.0","Sigma","2","16","1",3.31678279394808,1.32526496554328e-27
"199","Connect.16.0","Connect","3","16","1",0.463904816605653,3.50904735629031e-11
"200","Tau1.16.0","Tau1","4","16","1",1245.96676337344,3.95823942360077e-12
"201","Tau2.16.0","Tau2","5","16","1",7803555.4621725,1.45361351450011e-05
"202","NPQ.16.0","NPQ","6","16","1",0.295907982504375,1.45852155280601e-93
"203","qP.16.0","qP","7","16","1",0.558244110461723,1.63364094805654e-77
"204","ABQ.16.0","ABQ","8","16","1",0.263504645004359,1.32526496554328e-27
"205","qm.16.0","qm","9","16","1",0.832965193867741,8.16820474028269e-78
"206","nTau1.16.0","nTau1","10","16","1",2.07262031596577,3.95823942360077e-12
"207","nTau2.16.0","nTau2","11","16","1",4.89221666593245,1.45361351450011e-05
"208","nCon.16.0","nCon","12","16","1",1.68635298446382,3.50904735629031e-11
"209","Fm.16.0","Fm","13","16","1",2157.48524639691,1.45852155280601e-93
"210","Fo.16.0","Fo","14","16","1",2043.75715164908,1.63364094805654e-77
"211","Quant.17.0","Quant","1","17","1",0.0572166310379668,1.60769545945322e-81
"212","Sigma.17.0","Sigma","2","17","1",3.48511539980688,4.72806575544099e-32
"213","Connect.17.0","Connect","3","17","1",0.366082646294116,4.59732522410524e-10
"214","Tau1.17.0","Tau1","4","17","1",1295.9017790358,7.70593773234798e-13
"215","Tau2.17.0","Tau2","5","17","1",9778303.71272922,8.69270525374165e-05
"216","NPQ.17.0","NPQ","6","17","1",0.365179494304564,3.76255334384457e-98
"217","qP.17.0","qP","7","17","1",0.642058544401995,3.21539091890644e-81
"218","ABQ.17.0","ABQ","8","17","1",0.226126200285117,4.72806575544099e-32
