"","uni","metric","metrix","stage","col","ASnormalized.aabr1.005r","pval"
"127","Quant.11.0","Quant","1","11","1",0.0993039214311766,1.9238422213605e-79
"128","Sigma.11.0","Sigma","2","11","1",4.13740945297683,1.07514740984718e-39
"129","Connect.11.0","Connect","3","11","1",0.225311811056037,2.75284550087147e-08
"130","Tau1.11.0","Tau1","4","11","1",1854.18886597146,6.76129313101699e-16
"131","Tau2.11.0","Tau2","5","11","1",5314253.22761074,2.69376600808096e-05
"132","NPQ.11.0","NPQ","6","11","1",0.217038035106459,5.46897296107183e-100
"133","qP.11.0","qP","7","11","1",0.599705468528813,3.84768444272099e-79
"134","ABQ.11.0","ABQ","8","11","1",-0.0690732177644742,1.07514740984718e-39
"135","qm.11.0","qm","9","11","1",0.717067916694481,1.9238422213605e-79
"136","nTau1.11.0","nTau1","10","11","1",2.45557561875252,6.76129313101699e-16
"137","nTau2.11.0","nTau2","11","11","1",3.93112854279149,2.69376600808096e-05
"138","nCon.11.0","nCon","12","11","1",0.627940090924522,2.75284550087147e-08
"139","Fm.11.0","Fm","13","11","1",2521.44310066227,5.46897296107183e-100
"140","Fo.11.0","Fo","14","11","1",2271.05391310092,3.84768444272099e-79
"141","Quant.12.0","Quant","1","12","1",0.100895424718417,1.65609967333479e-75
"142","Sigma.12.0","Sigma","2","12","1",4.34333075377333,4.06907199934621e-37
"143","Connect.12.0","Connect","3","12","1",0.339336129688367,3.08035989418199e-12
"144","Tau1.12.0","Tau1","4","12","1",1817.42919703279,4.41431149005018e-20
"145","Tau2.12.0","Tau2","5","12","1",6238827.72177627,7.48592648058127e-07
"146","NPQ.12.0","NPQ","6","12","1",0.208169605787427,1.37581731751092e-96
"147","qP.12.0","qP","7","12","1",0.590211037619481,3.31219934666957e-75
"148","ABQ.12.0","ABQ","8","12","1",-0.122281620304951,4.06907199934621e-37
"149","qm.12.0","qm","9","12","1",0.712533480046291,1.65609967333479e-75
"150","nTau1.12.0","nTau1","10","12","1",2.40689333591943,4.41431149005018e-20
"151","nTau2.12.0","nTau2","11","12","1",4.61506681751785,7.48592648058127e-07
"152","nCon.12.0","nCon","12","12","1",0.945723879861286,3.08035989418199e-12
"153","Fm.12.0","Fm","13","12","1",2539.95146224749,1.37581731751092e-96
"154","Fo.12.0","Fo","14","12","1",2283.68198069986,3.31219934666957e-75
"155","Quant.13.0","Quant","1","13","1",0.111338816844688,1.03409641228876e-77
"156","Sigma.13.0","Sigma","2","13","1",4.37460923592836,1.84327109718656e-40
"157","Connect.13.0","Connect","3","13","1",0.208059017875111,1.17766098577947e-07
"158","Tau1.13.0","Tau1","4","13","1",1495.78587846887,4.71390085412229e-16
"159","Tau2.13.0","Tau2","5","13","1",3821455.62962503,4.04744377517643e-07
