"","uni","metric","metrix","stage","col","ASnormalized.ahya5.002r","pval"
"116","Tau1.10.0","Tau1","4","10","1",1787.5392660953,2.35644341812548e-16
"117","Tau2.10.0","Tau2","5","10","1",4102505.50945033,1.02188230558724e-08
"118","NPQ.10.0","NPQ","6","10","1",0.278942202371848,5.46177415213587e-103
"119","qP.10.0","qP","7","10","1",0.612624588658821,2.86832804902418e-81
"120","ABQ.10.0","ABQ","8","10","1",-0.0691742303177763,1.0710293538997e-39
"121","qm.10.0","qm","9","10","1",0.780792190515673,1.43416402451209e-81
"122","nTau1.10.0","nTau1","10","10","1",2.21418774791827,2.35644341812548e-16
"123","nTau2.10.0","nTau2","11","10","1",4.73549888951998,1.02188230558724e-08
"124","nCon.10.0","nCon","12","10","1",0.790958164395616,2.46597528991328e-10
"125","Fm.10.0","Fm","13","10","1",2675.0377156264,5.46177415213587e-103
"126","Fo.10.0","Fo","14","10","1",2448.1322967881,2.86832804902418e-81
"127","Quant.11.0","Quant","1","11","1",0.0928685063955755,2.28894624272143e-81
"128","Sigma.11.0","Sigma","2","11","1",4.30562642104851,2.59585682507835e-40
"129","Connect.11.0","Connect","3","11","1",0.194810586594946,4.34340324841051e-07
"130","Tau1.11.0","Tau1","4","11","1",1956.81900778422,1.15152385591281e-19
"131","Tau2.11.0","Tau2","5","11","1",4960244.54502191,3.71588993009001e-07
"132","NPQ.11.0","NPQ","6","11","1",0.267587864828144,3.8980714862833e-102
"133","qP.11.0","qP","7","11","1",0.612489310295901,4.57789248544285e-81
"134","ABQ.11.0","ABQ","8","11","1",-0.00321109915132012,2.59585682507835e-40
"135","qm.11.0","qm","9","11","1",0.76000094866678,2.28894624272143e-81
"136","nTau1.11.0","nTau1","10","11","1",2.42387104670092,1.15152385591281e-19
"137","nTau2.11.0","nTau2","11","11","1",5.72558220350713,3.71588993009001e-07
"138","nCon.11.0","nCon","12","11","1",0.580452191933696,4.34340324841051e-07
"139","Fm.11.0","Fm","13","11","1",2698.9991955428,3.8980714862833e-102
"140","Fo.11.0","Fo","14","11","1",2448.34717148988,4.57789248544285e-81
"141","Quant.12.0","Quant","1","12","1",0.0996125462884172,1.27491923583668e-73
"142","Sigma.12.0","Sigma","2","12","1",4.50697734667822,6.93970472035422e-35
"143","Connect.12.0","Connect","3","12","1",0.271869730499248,9.63690381990301e-08
"144","Tau1.12.0","Tau1","4","12","1",1877.57546780559,3.21429425486885e-16
"145","Tau2.12.0","Tau2","5","12","1",4331933.37486033,1.80129603855032e-06
"146","NPQ.12.0","NPQ","6","12","1",0.270429730847497,4.47961392412374e-95
"147","qP.12.0","qP","7","12","1",0.62737119709781,2.54983847167337e-73
"148","ABQ.12.0","ABQ","8","12","1",-0.0501258715125794,6.93970472035422e-35
"149","qm.12.0","qm","9","12","1",0.742572401150994,1.27491923583668e-73
"150","nTau1.12.0","nTau1","10","12","1",2.32571372022964,3.21429425486885e-16
"151","nTau2.12.0","nTau2","11","12","1",5.000326176009,1.80129603855032e-06
"152","nCon.12.0","nCon","12","12","1",0.810055468478355,9.63690381990301e-08
"153","Fm.12.0","Fm","13","12","1",2692.96171553597,4.47961392412374e-95
"154","Fo.12.0","Fo","14","12","1",2424.70894199421,2.54983847167337e-73
"155","Quant.13.0","Quant","1","13","1",0.107340698810172,5.44315866021669e-73
"156","Sigma.13.0","Sigma","2","13","1",4.78339694078376,1.91273088451422e-35
"157","Connect.13.0","Connect","3","13","1",0.213837370888254,1.13406129609519e-05
"158","Tau1.13.0","Tau1","4","13","1",2003.55595803182,1.74506589884873e-18
"159","Tau2.13.0","Tau2","5","13","1",4254846.9016192,3.09485979415898e-07
"160","NPQ.13.0","NPQ","6","13","1",0.262101033253074,1.70926663104699e-95
"161","qP.13.0","qP","7","13","1",0.630486380254745,1.08863173204334e-72
"162","ABQ.13.0","ABQ","8","13","1",-0.114531646122735,1.91273088451422e-35
"163","qm.13.0","qm","9","13","1",0.722600622280347,5.44315866021669e-73
"164","nTau1.13.0","nTau1","10","13","1",2.48176313588526,1.74506589884873e-18
"165","nTau2.13.0","nTau2","11","13","1",4.91134569625352,3.09485979415898e-07
"166","nCon.13.0","nCon","12","13","1",0.637143867892065,1.13406129609519e-05
