Identifier,cookie,Click_No,Image,Mean,SD
,7,13,IMG_4985.jpg,5.775,0.318
,8,14,IMG_4985.jpg,6.604,0.549
,9,15,IMG_4985.jpg,8.083,0.512
,10,16,IMG_4985.jpg,7.424,0.637
,11,17,IMG_4985.jpg,8.263,0.844
,12,18,IMG_4985.jpg,8.115,0.664
,13,19,IMG_4985.jpg,8.411,0.844
,14,20,IMG_4985.jpg,8.306,0.929
,15,21,IMG_4985.jpg,8.028,1.085
,16,22,IMG_4985.jpg,7.134,0.757
,17,23,IMG_4985.jpg,5.702,0.69
,18,24,IMG_4985.jpg,6.963,0.902
,19,25,IMG_4985.jpg,5.359,0.612
,20,26,IMG_4985.jpg,5.168,0.802
scale,,1,IMG_4986.jpg,207.794,1.814
scale,,2,IMG_4986.jpg,193.797,2.39
scale,,3,IMG_4986.jpg,171.127,2.274
scale,,4,IMG_4986.jpg,148.32,2.605
scale,,5,IMG_4986.jpg,117.267,2.48
scale,,6,IMG_4986.jpg,89.872,2.489
,1,7,IMG_4986.jpg,7.049,0.839
,2,8,IMG_4986.jpg,6.216,1.116
,3,9,IMG_4986.jpg,6.301,0.89
,4,10,IMG_4986.jpg,5.954,1.285
,5,11,IMG_4986.jpg,6.765,0.885
,6,12,IMG_4986.jpg,5.856,0.605
,7,13,IMG_4986.jpg,6.723,0.924
,8,14,IMG_4986.jpg,6.945,0.798
,9,15,IMG_4986.jpg,7.733,0.662
,10,16,IMG_4986.jpg,7.666,0.788
,11,17,IMG_4986.jpg,7.989,0.921
,12,18,IMG_4986.jpg,7.463,0.7
,13,19,IMG_4986.jpg,7.569,1.184
,14,20,IMG_4986.jpg,7.72,0.889
,15,21,IMG_4986.jpg,7.183,0.663
,16,22,IMG_4986.jpg,8.014,0.851
,17,23,IMG_4986.jpg,5.845,0.811
,18,24,IMG_4986.jpg,5.652,0.668
,19,25,IMG_4986.jpg,5.552,0.845
,20,26,IMG_4986.jpg,3.925,0.543
scale,,1,IMG_4987.jpg,200.166,1.755
scale,,2,IMG_4987.jpg,182.964,1.874
scale,,3,IMG_4987.jpg,160.169,1.66
scale,,4,IMG_4987.jpg,137.763,2.431
scale,,5,IMG_4987.jpg,107.374,1.917
scale,,6,IMG_4987.jpg,80.524,1.592
,1,7,IMG_4987.jpg,6.198,0.78
,2,8,IMG_4987.jpg,6.788,0.761
,3,9,IMG_4987.jpg,6.411,0.514
,4,10,IMG_4987.jpg,5.314,0.987
,5,11,IMG_4987.jpg,7.056,0.875
,6,12,IMG_4987.jpg,6.122,0.881
,7,13,IMG_4987.jpg,5.668,0.569
,8,14,IMG_4987.jpg,5.881,0.591
,9,15,IMG_4987.jpg,7.707,0.652
,10,16,IMG_4987.jpg,7.176,0.872
,11,17,IMG_4987.jpg,7.84,0.844
,12,18,IMG_4987.jpg,6.562,0.602
,13,19,IMG_4987.jpg,7.65,0.966
,14,20,IMG_4987.jpg,7.619,0.773
,15,21,IMG_4987.jpg,7.615,0.847
,16,22,IMG_4987.jpg,7.447,0.865
,17,23,IMG_4987.jpg,6.178,0.873
,18,24,IMG_4987.jpg,6.131,1.136
,19,25,IMG_4987.jpg,4.893,0.745
,20,26,IMG_4987.jpg,5.019,0.414
scale,,1,IMG_4989.jpg,202.841,1.829
scale,,2,IMG_4989.jpg,188.669,1.893
scale,,3,IMG_4989.jpg,167.544,1.816
scale,,4,IMG_4989.jpg,146.229,2.283
scale,,5,IMG_4989.jpg,118.941,2.855
scale,,6,IMG_4989.jpg,93.516,2.344
,1,7,IMG_4989.jpg,8.768,0.446
,2,8,IMG_4989.jpg,6.865,0.822
,3,9,IMG_4989.jpg,7.292,0.657
,4,10,IMG_4989.jpg,7.034,0.915
,5,11,IMG_4989.jpg,6.805,0.734
,6,12,IMG_4989.jpg,7.687,0.399
,7,13,IMG_4989.jpg,7.715,0.764
,8,14,IMG_4989.jpg,7.994,0.722
,9,15,IMG_4989.jpg,7.703,0.991
,10,16,IMG_4989.jpg,8.103,0.679
,11,17,IMG_4989.jpg,8.744,0.526
,12,18,IMG_4989.jpg,7.594,0.934
,13,19,IMG_4989.jpg,8.233,0.874
,14,20,IMG_4989.jpg,8.068,0.737
,15,21,IMG_4989.jpg,8.142,1.133
,16,22,IMG_4989.jpg,7.34,0.639
,17,23,IMG_4989.jpg,8.249,0.732
,18,24,IMG_4989.jpg,8.446,0.84
,19,25,IMG_4989.jpg,6.837,0.712
,20,26,IMG_4989.jpg,5.802,0.662
