Identifier,cookie,Click_No,Image,Mean,SD
,13,19,IMG_4895.jpg,7.309,1.327
,14,20,IMG_4895.jpg,7.729,1.082
,15,21,IMG_4895.jpg,6.297,0.928
,16,22,IMG_4895.jpg,6.187,0.588
,17,23,IMG_4895.jpg,7.048,1.356
,18,24,IMG_4895.jpg,6.537,1.353
,19,25,IMG_4895.jpg,7.619,0.78
,20,26,IMG_4895.jpg,3.414,0.942
scale,,1,IMG_4896.jpg,148.953,2.008
scale,,2,IMG_4896.jpg,137.862,1.947
scale,,3,IMG_4896.jpg,126.422,2.129
scale,,4,IMG_4896.jpg,113.955,2.185
scale,,5,IMG_4896.jpg,95.941,2.104
scale,,6,IMG_4896.jpg,81.585,1.9
,1,7,IMG_4896.jpg,4.886,1.357
,2,8,IMG_4896.jpg,6.732,1.535
,3,9,IMG_4896.jpg,7.814,1.472
,4,10,IMG_4896.jpg,6.354,0.784
,5,11,IMG_4896.jpg,5.849,1.087
,6,12,IMG_4896.jpg,5.16,1.255
,7,13,IMG_4896.jpg,5.805,1.148
,8,14,IMG_4896.jpg,7.183,0.79
,9,15,IMG_4896.jpg,5.617,0.835
,10,16,IMG_4896.jpg,5.157,1.203
,11,17,IMG_4896.jpg,3.646,1.04
,12,18,IMG_4896.jpg,4.991,0.648
,13,19,IMG_4896.jpg,7.123,1.278
,14,20,IMG_4896.jpg,7.282,1.004
,15,21,IMG_4896.jpg,6.123,1.106
,16,22,IMG_4896.jpg,7.603,1.4
,17,23,IMG_4896.jpg,5.66,1.265
,18,24,IMG_4896.jpg,7.026,1.585
,19,25,IMG_4896.jpg,7.356,0.903
,20,26,IMG_4896.jpg,3.221,1.225
scale,,1,IMG_4897.jpg,142.223,1.602
scale,,2,IMG_4897.jpg,129.942,1.378
scale,,3,IMG_4897.jpg,120.29,1.76
scale,,4,IMG_4897.jpg,109.35,1.591
scale,,5,IMG_4897.jpg,91.085,1.679
scale,,6,IMG_4897.jpg,77.716,1.574
,1,7,IMG_4897.jpg,5.493,1.309
,2,8,IMG_4897.jpg,5.96,1.235
,3,9,IMG_4897.jpg,7.994,0.993
,4,10,IMG_4897.jpg,6.973,1.079
,5,11,IMG_4897.jpg,6.139,1.327
,6,12,IMG_4897.jpg,5.077,1
,7,13,IMG_4897.jpg,4.361,0.765
,8,14,IMG_4897.jpg,6.231,0.702
,9,15,IMG_4897.jpg,2.999,0.829
,10,16,IMG_4897.jpg,2.518,0.957
,11,17,IMG_4897.jpg,2.671,0.793
,12,18,IMG_4897.jpg,5.545,0.823
,13,19,IMG_4897.jpg,6.558,0.978
,14,20,IMG_4897.jpg,6.74,0.941
,15,21,IMG_4897.jpg,5.987,1.113
,16,22,IMG_4897.jpg,5.876,1.389
,17,23,IMG_4897.jpg,5.553,1.624
,18,24,IMG_4897.jpg,7.284,0.827
,19,25,IMG_4897.jpg,7.007,0.819
,20,26,IMG_4897.jpg,3.589,0.769
scale,,1,IMG_4898.jpg,139.756,1.403
scale,,2,IMG_4898.jpg,129.016,1.407
scale,,3,IMG_4898.jpg,118.636,1.763
scale,,4,IMG_4898.jpg,107.52,1.535
scale,,5,IMG_4898.jpg,89.686,1.549
scale,,6,IMG_4898.jpg,75.683,1.415
,1,7,IMG_4898.jpg,6.728,1.242
,2,8,IMG_4898.jpg,5.627,0.869
,3,9,IMG_4898.jpg,6.847,1.111
,4,10,IMG_4898.jpg,4.731,0.963
,5,11,IMG_4898.jpg,5.596,1.478
,6,12,IMG_4898.jpg,5.046,1.266
,7,13,IMG_4898.jpg,5.601,1.365
,8,14,IMG_4898.jpg,7.038,0.518
,9,15,IMG_4898.jpg,5.038,0.963
,10,16,IMG_4898.jpg,3.642,1.325
,11,17,IMG_4898.jpg,3.644,0.95
,12,18,IMG_4898.jpg,5.036,0.786
,13,19,IMG_4898.jpg,6.311,1.403
,14,20,IMG_4898.jpg,6.43,1.018
,15,21,IMG_4898.jpg,6.372,0.47
,16,22,IMG_4898.jpg,7.463,0.451
,17,23,IMG_4898.jpg,6.599,1.09
,18,24,IMG_4898.jpg,7.505,0.758
,19,25,IMG_4898.jpg,5.809,0.864
,20,26,IMG_4898.jpg,5.778,1.027
scale,,1,IMG_4900.jpg,143.845,2.125
scale,,2,IMG_4900.jpg,133.547,2.162
scale,,3,IMG_4900.jpg,124.623,2.11
scale,,4,IMG_4900.jpg,113.72,2.329
scale,,5,IMG_4900.jpg,94.318,2.467
scale,,6,IMG_4900.jpg,82.998,1.936
,1,7,IMG_4900.jpg,5.898,1.424
,2,8,IMG_4900.jpg,5.197,1.074
,3,9,IMG_4900.jpg,6.837,1.327
,4,10,IMG_4900.jpg,6.596,1.422
,5,11,IMG_4900.jpg,6.4,1.253
,6,12,IMG_4900.jpg,5.55,1.128
,7,13,IMG_4900.jpg,6.304,1.23
,8,14,IMG_4900.jpg,7.886,0.777
,9,15,IMG_4900.jpg,4.878,0.633
,10,16,IMG_4900.jpg,5.828,1.325
,11,17,IMG_4900.jpg,5.388,1.49
,12,18,IMG_4900.jpg,6.556,1.085
,13,19,IMG_4900.jpg,6.909,0.956
,14,20,IMG_4900.jpg,6.641,1.37
,15,21,IMG_4900.jpg,5.738,1.16
,16,22,IMG_4900.jpg,7.24,1.103
,17,23,IMG_4900.jpg,7.367,1.607
,18,24,IMG_4900.jpg,8.282,1.6
,19,25,IMG_4900.jpg,8.077,1.195
,20,26,IMG_4900.jpg,2.692,1.276
scale,,1,IMG_4901.jpg,144.407,1.557
scale,,2,IMG_4901.jpg,132.79,1.626
scale,,3,IMG_4901.jpg,123.766,1.532
scale,,4,IMG_4901.jpg,111.315,1.93
scale,,5,IMG_4901.jpg,92.113,1.497
scale,,6,IMG_4901.jpg,78.415,1.157
,1,7,IMG_4901.jpg,8.485,0.958
,2,8,IMG_4901.jpg,8.558,1.459
,3,9,IMG_4901.jpg,9.034,0.96
,4,10,IMG_4901.jpg,7.731,0.991
,5,11,IMG_4901.jpg,7.743,0.814
,6,12,IMG_4901.jpg,6.85,1.105
,7,13,IMG_4901.jpg,6.506,0.724
,8,14,IMG_4901.jpg,7.315,0.756
,9,15,IMG_4901.jpg,5.248,0.756
,10,16,IMG_4901.jpg,4.725,0.737
,11,17,IMG_4901.jpg,4.961,0.727
,12,18,IMG_4901.jpg,5.62,0.54
,13,19,IMG_4901.jpg,6.174,0.915
,14,20,IMG_4901.jpg,6.603,0.821
,15,21,IMG_4901.jpg,6.665,1.025
,16,22,IMG_4901.jpg,7.662,1.41
,17,23,IMG_4901.jpg,7.181,0.759
,18,24,IMG_4901.jpg,7.802,1.293
,19,25,IMG_4901.jpg,6.254,0.564
,20,26,IMG_4901.jpg,5.486,1.224
