Identifier,cookie,Click_No,Image,Mean,SD
,9,15,IMG_4937.jpg,6.564,0.634
,10,16,IMG_4937.jpg,7.776,0.885
,11,17,IMG_4937.jpg,7.71,0.801
,12,18,IMG_4937.jpg,8.215,0.475
,13,19,IMG_4937.jpg,8.452,0.523
,14,20,IMG_4937.jpg,8.511,1.055
,15,21,IMG_4937.jpg,7.06,0.98
,16,22,IMG_4937.jpg,8.192,0.938
,17,23,IMG_4937.jpg,9.043,0.904
,18,24,IMG_4937.jpg,8.255,0.708
,19,25,IMG_4937.jpg,8.478,0.588
,20,26,IMG_4937.jpg,8.053,1.111
scale,,1,IMG_4938.jpg,137.638,1.518
scale,,2,IMG_4938.jpg,126.343,1.392
scale,,3,IMG_4938.jpg,113.638,1.54
scale,,4,IMG_4938.jpg,100.884,1.738
scale,,5,IMG_4938.jpg,79.662,1.984
scale,,6,IMG_4938.jpg,61.974,1.595
,1,7,IMG_4938.jpg,7.643,0.882
,2,8,IMG_4938.jpg,5.675,1.696
,3,9,IMG_4938.jpg,6.387,0.926
,4,10,IMG_4938.jpg,6.821,1.253
,5,11,IMG_4938.jpg,7.341,1.177
,6,12,IMG_4938.jpg,4.848,1.312
,7,13,IMG_4938.jpg,7.393,0.894
,8,14,IMG_4938.jpg,6.742,1.306
,9,15,IMG_4938.jpg,7.861,1.154
,10,16,IMG_4938.jpg,5.447,1.25
,11,17,IMG_4938.jpg,7.722,0.502
,12,18,IMG_4938.jpg,5.93,0.923
,13,19,IMG_4938.jpg,8.679,0.908
,14,20,IMG_4938.jpg,7.896,0.929
,15,21,IMG_4938.jpg,7.335,1.281
,16,22,IMG_4938.jpg,8.312,1.103
,17,23,IMG_4938.jpg,7.691,1.021
,18,24,IMG_4938.jpg,8.11,0.814
,19,25,IMG_4938.jpg,8.006,0.802
,20,26,IMG_4938.jpg,7.702,0.752
scale,,1,IMG_4939.jpg,131.741,1.408
scale,,2,IMG_4939.jpg,120.344,1.421
scale,,3,IMG_4939.jpg,107.479,1.587
scale,,4,IMG_4939.jpg,93.797,1.712
scale,,5,IMG_4939.jpg,72.796,1.955
scale,,6,IMG_4939.jpg,57.542,1.992
,1,7,IMG_4939.jpg,6.843,1.061
,2,8,IMG_4939.jpg,5.386,0.851
,3,9,IMG_4939.jpg,3.577,0.888
,4,10,IMG_4939.jpg,3.993,1.084
,5,11,IMG_4939.jpg,7.624,0.916
,6,12,IMG_4939.jpg,5.943,0.908
,7,13,IMG_4939.jpg,5.869,0.913
,8,14,IMG_4939.jpg,6.655,1.334
,9,15,IMG_4939.jpg,7.08,1.3
,10,16,IMG_4939.jpg,6.908,1.373
,11,17,IMG_4939.jpg,7.335,0.767
,12,18,IMG_4939.jpg,6.902,0.744
,13,19,IMG_4939.jpg,8.629,1.11
,14,20,IMG_4939.jpg,7.567,0.992
,15,21,IMG_4939.jpg,7.815,0.927
,16,22,IMG_4939.jpg,8.155,1.696
,17,23,IMG_4939.jpg,8.415,0.553
,18,24,IMG_4939.jpg,8.055,1.187
,19,25,IMG_4939.jpg,8.717,0.611
,20,26,IMG_4939.jpg,8,1.067
scale,,1,IMG_4942.jpg,136.289,1.717
scale,,2,IMG_4942.jpg,124.659,1.74
scale,,3,IMG_4942.jpg,111.93,1.892
scale,,4,IMG_4942.jpg,97.581,1.964
scale,,5,IMG_4942.jpg,76.169,1.884
scale,,6,IMG_4942.jpg,57.919,1.609
,1,7,IMG_4942.jpg,5.88,0.977
,2,8,IMG_4942.jpg,6.156,0.951
,3,9,IMG_4942.jpg,2.102,0.641
,4,10,IMG_4942.jpg,2.515,0.9
,5,11,IMG_4942.jpg,4.607,1.248
,6,12,IMG_4942.jpg,5.669,1.107
,7,13,IMG_4942.jpg,7.437,0.957
,8,14,IMG_4942.jpg,5.477,1.389
,9,15,IMG_4942.jpg,6.785,1.077
,10,16,IMG_4942.jpg,5.744,1.582
,11,17,IMG_4942.jpg,6.783,0.977
,12,18,IMG_4942.jpg,7.533,0.885
,13,19,IMG_4942.jpg,8.25,1.367
,14,20,IMG_4942.jpg,8.261,0.928
,15,21,IMG_4942.jpg,7.772,1.286
,16,22,IMG_4942.jpg,8.403,1.038
,17,23,IMG_4942.jpg,8.279,1.117
,18,24,IMG_4942.jpg,7.999,1.339
,19,25,IMG_4942.jpg,8.02,0.957
,20,26,IMG_4942.jpg,8.525,1.423
scale,,1,IMG_4943.jpg,143.869,1.384
scale,,2,IMG_4943.jpg,130.525,1.545
scale,,3,IMG_4943.jpg,119.174,1.65
scale,,4,IMG_4943.jpg,104.936,1.783
scale,,5,IMG_4943.jpg,82.203,2.171
scale,,6,IMG_4943.jpg,65.915,2.4
,1,7,IMG_4943.jpg,7.459,1.048
,2,8,IMG_4943.jpg,NA,NA
,3,9,IMG_4943.jpg,4.285,1.031
,4,10,IMG_4943.jpg,2.786,0.895
,5,11,IMG_4943.jpg,7.699,0.978
,6,12,IMG_4943.jpg,6.109,1.254
,7,13,IMG_4943.jpg,7.555,0.968
,8,14,IMG_4943.jpg,6.066,1.034
,9,15,IMG_4943.jpg,6.963,0.792
,10,16,IMG_4943.jpg,6.259,1.222
,11,17,IMG_4943.jpg,7.884,0.671
,12,18,IMG_4943.jpg,7.596,1.054
,13,19,IMG_4943.jpg,8.605,0.896
,14,20,IMG_4943.jpg,9.235,0.526
,15,21,IMG_4943.jpg,8.196,0.535
,16,22,IMG_4943.jpg,8.566,1.326
,17,23,IMG_4943.jpg,9.138,1.023
,18,24,IMG_4943.jpg,7.775,0.954
,19,25,IMG_4943.jpg,8.903,1.061
,20,26,IMG_4943.jpg,8.815,0.523
scale,,1,IMG_4945.jpg,136.366,1.674
scale,,2,IMG_4945.jpg,124.657,1.419
scale,,3,IMG_4945.jpg,112.983,1.392
scale,,4,IMG_4945.jpg,101.282,1.605
scale,,5,IMG_4945.jpg,81.025,2.175
scale,,6,IMG_4945.jpg,65.33,2.26
,1,7,IMG_4945.jpg,5.674,1.709
,2,8,IMG_4945.jpg,5.375,1.55
,3,9,IMG_4945.jpg,4.615,1.382
,4,10,IMG_4945.jpg,4.361,1.342
,5,11,IMG_4945.jpg,4.905,1.014
,6,12,IMG_4945.jpg,4.545,0.828
,7,13,IMG_4945.jpg,6.812,0.861
,8,14,IMG_4945.jpg,3.417,0.644
,9,15,IMG_4945.jpg,5.979,0.836
,10,16,IMG_4945.jpg,4.867,1.111
,11,17,IMG_4945.jpg,7.939,1.182
,12,18,IMG_4945.jpg,6.754,1.445
,13,19,IMG_4945.jpg,7.462,0.796
,14,20,IMG_4945.jpg,7.884,1.108
,15,21,IMG_4945.jpg,7.187,0.882
,16,22,IMG_4945.jpg,8.02,1.126
,17,23,IMG_4945.jpg,8.942,0.488
,18,24,IMG_4945.jpg,6.716,2.683
,19,25,IMG_4945.jpg,9.023,1.024
,20,26,IMG_4945.jpg,8.357,1.109
scale,,1,IMG_4946.jpg,142.182,1.431
scale,,2,IMG_4946.jpg,131.169,1.664
scale,,3,IMG_4946.jpg,119.009,1.814
scale,,4,IMG_4946.jpg,106.114,1.612
scale,,5,IMG_4946.jpg,84.955,2.186
scale,,6,IMG_4946.jpg,67.229,2.056
,1,7,IMG_4946.jpg,7.933,1.267
,2,8,IMG_4946.jpg,4.027,1.188
,3,9,IMG_4946.jpg,5.652,1.07
,4,10,IMG_4946.jpg,2.046,0.674
,5,11,IMG_4946.jpg,5.228,1.251
,6,12,IMG_4946.jpg,5.73,0.965
,7,13,IMG_4946.jpg,7.298,0.917
,8,14,IMG_4946.jpg,6.274,1.318
,9,15,IMG_4946.jpg,6.872,1.133
,10,16,IMG_4946.jpg,5.421,0.97
,11,17,IMG_4946.jpg,8.057,0.88
,12,18,IMG_4946.jpg,6.526,1.035
,13,19,IMG_4946.jpg,8.115,0.82
,14,20,IMG_4946.jpg,9.298,0.954
,15,21,IMG_4946.jpg,8.447,0.485
,16,22,IMG_4946.jpg,8.851,1.103
,17,23,IMG_4946.jpg,8.093,0.62
,18,24,IMG_4946.jpg,8.23,0.533
,19,25,IMG_4946.jpg,8.91,1.188
,20,26,IMG_4946.jpg,8.001,0.577
