"","uni","metric","metrix","stage","col","cclong2025.lpv13.005","pval"
"152","nCon.12.0","nCon","12","12","1",0.59224873748748,0.00230472776220996
"153","Fm.12.0","Fm","13","12","1",2307.82191818033,2.21820887783126e-84
"154","Fo.12.0","Fo","14","12","1",1736.55604566714,1.05289801762666e-61
"155","Quant.13.0","Quant","1","13","1",0.253079066368918,2.1735173192638e-59
"156","Sigma.13.0","Sigma","2","13","1",3.79166223717559,1.69237212755057e-36
"157","Connect.13.0","Connect","3","13","1",0.142676713868733,0.00250650247871497
"158","Tau1.13.0","Tau1","4","13","1",801.445516431894,1.22289049161232e-15
"159","Tau2.13.0","Tau2","5","13","1",988863.931836212,6.80672437410135e-15
"160","NPQ.13.0","NPQ","6","13","1",0.728147661415469,1.0917646022298e-81
"161","qP.13.0","qP","7","13","1",0.826630438124601,4.34703463852759e-59
"162","ABQ.13.0","ABQ","8","13","1",0.279343552277787,1.69237212755057e-36
"163","qm.13.0","qm","9","13","1",0.313854195353455,2.1735173192638e-59
"164","nTau1.13.0","nTau1","10","13","1",1.28557971710764,1.22289049161232e-15
"165","nTau2.13.0","nTau2","11","13","1",0.849001977725832,6.80672437410135e-15
"166","nCon.13.0","nCon","12","13","1",0.655495851886144,0.00250650247871497
"167","Fm.13.0","Fm","13","13","1",2307.39354957702,1.0917646022298e-81
"168","Fo.13.0","Fo","14","13","1",1723.4405443044,4.34703463852759e-59
"169","Quant.14.0","Quant","1","14","1",0.255304924535138,1.36845164781332e-62
"170","Sigma.14.0","Sigma","2","14","1",3.86439889933504,2.81550014451081e-40
"171","Connect.14.0","Connect","3","14","1",0.126645244290843,0.000996314159268302
"172","Tau1.14.0","Tau1","4","14","1",908.483644849686,2.7688074922076e-16
"173","Tau2.14.0","Tau2","5","14","1",1044296.80375614,5.39763801855474e-14
"174","NPQ.14.0","NPQ","6","14","1",0.728944276786326,1.40795630764706e-85
"175","qP.14.0","qP","7","14","1",0.82879466334866,2.73690329562665e-62
"176","ABQ.14.0","ABQ","8","14","1",0.265518970526526,2.81550014451081e-40
"177","qm.14.0","qm","9","14","1",0.307819467691456,1.36845164781332e-62
"178","nTau1.14.0","nTau1","10","14","1",1.45727703655078,2.7688074922076e-16
"179","nTau2.14.0","nTau2","11","14","1",0.896594590193406,5.39763801855474e-14
"180","nCon.14.0","nCon","12","14","1",0.581842895331413,0.000996314159268302
"181","Fm.14.0","Fm","13","14","1",2306.33041226665,1.40795630764706e-85
"182","Fo.14.0","Fo","14","14","1",1717.51290040982,2.73690329562665e-62
"183","Quant.15.0","Quant","1","15","1",0.259898089570808,1.41472622598729e-60
"184","Sigma.15.0","Sigma","2","15","1",3.87314791987636,6.66138448756838e-39
"185","Connect.15.0","Connect","3","15","1",0.131156314269071,0.00144141825612112
"186","Tau1.15.0","Tau1","4","15","1",849.761434778308,2.94208136990779e-16
"187","Tau2.15.0","Tau2","5","15","1",997062.508516023,3.61177344861378e-14
"188","NPQ.15.0","NPQ","6","15","1",0.72369407376611,7.4011609238527e-84
"189","qP.15.0","qP","7","15","1",0.830764141460557,2.82945245197459e-60
"190","ABQ.15.0","ABQ","8","15","1",0.263856101402126,6.66138448756838e-39
"191","qm.15.0","qm","9","15","1",0.295366517850555,1.41472622598729e-60
"192","nTau1.15.0","nTau1","10","15","1",1.36308213413546,2.94208136990779e-16
"193","nTau2.15.0","nTau2","11","15","1",0.856040972264515,3.61177344861378e-14
"194","nCon.15.0","nCon","12","15","1",0.602567984787967,0.00144141825612112
"195","Fm.15.0","Fm","13","15","1",2313.35526840579,7.4011609238527e-84
"196","Fo.15.0","Fo","14","15","1",1712.11865364856,2.82945245197459e-60
"197","Quant.16.0","Quant","1","16","1",0.0979275855096653,5.06183984000371e-67
"198","Sigma.16.0","Sigma","2","16","1",3.9638580136718,1.6495199229816e-18
"199","Connect.16.0","Connect","3","16","1",0,1
"200","Tau1.16.0","Tau1","4","16","1",820.540129012207,1.04645215636091e-08
"201","Tau2.16.0","Tau2","5","16","1",3182195.04562446,8.88002861298848e-12
"202","NPQ.16.0","NPQ","6","16","1",0.401653989593642,1.1311095484195e-82
"203","qP.16.0","qP","7","16","1",0.518905730339159,1.01236796800074e-66
"204","ABQ.16.0","ABQ","8","16","1",0.246615427028169,1.6495199229816e-18
"205","qm.16.0","qm","9","16","1",0.734499566002529,5.06183984000371e-67
"206","nTau1.16.0","nTau1","10","16","1",1.31620893161565,1.04645215636091e-08
"207","nTau2.16.0","nTau2","11","16","1",2.73211490505854,8.88002861298848e-12
"208","nCon.16.0","nCon","12","16","1",0,1
"209","Fm.16.0","Fm","13","16","1",2844.86527792975,1.1311095484195e-82
"210","Fo.16.0","Fo","14","16","1",2566.27449016181,1.01236796800074e-66
"211","Quant.17.0","Quant","1","17","1",0.0957263997566568,4.63759743363495e-66
"212","Sigma.17.0","Sigma","2","17","1",4.07936691018641,1.59567579714356e-15
"213","Connect.17.0","Connect","3","17","1",0,1
"214","Tau1.17.0","Tau1","4","17","1",1291.31561945578,3.87453792932164e-08
"215","Tau2.17.0","Tau2","5","17","1",2810182.50855605,2.60999217697235e-13
"216","NPQ.17.0","NPQ","6","17","1",0.47053624428987,1.6744599502589e-80
"217","qP.17.0","qP","7","17","1",0.56061543502602,9.27519486726988e-66
"218","ABQ.17.0","ABQ","8","17","1",0.224661406380872,1.59567579714356e-15
"219","qm.17.0","qm","9","17","1",0.740467402028417,4.63759743363495e-66
"220","nTau1.17.0","nTau1","10","17","1",2.07136871405495,3.87453792932164e-08
"221","nTau2.17.0","nTau2","11","17","1",2.41271870752164,2.60999217697235e-13
