"","uni","metric","metrix","stage","col","barefoot2025.bpv19.002","pval"
"3234","L22CompL32.qSigma.3","qSigma","99","99","3",0.12469973784449,NA
"3235","L22CompR1.qSigma.3","qSigma","99","99","3",-0.103507583068665,NA
"3236","L22CompR12.qSigma.3","qSigma","99","99","3",-0.140066251720686,NA
"3237","L3CompR1.qSigma.3","qSigma","99","99","3",-0.105417641714881,NA
"3238","L3CompR12.qSigma.3","qSigma","99","99","3",-0.142039589679363,NA
"3239","L32CompR1.qSigma.3","qSigma","99","99","3",-0.260718899307962,NA
"3240","L32CompR12.qSigma.3","qSigma","99","99","3",-0.302485902281309,NA
"3241","DCompL1.qConnect.3","qConnect","99","99","3",0.132454069580345,NA
"3242","DCompL12.qConnect.3","qConnect","99","99","3",0.744132889291989,NA
"3243","DCompL2.qConnect.3","qConnect","99","99","3",0.154906306106909,NA
"3244","DCompL22.qConnect.3","qConnect","99","99","3",0.139517688654792,NA
"3245","DCompL3.qConnect.3","qConnect","99","99","3",0.905541732908025,NA
"3246","DCompL32.qConnect.3","qConnect","99","99","3",0.696376773744846,NA
"3247","DCompR1.qConnect.3","qConnect","99","99","3",0.128852606481937,NA
"3248","DCompR12.qConnect.3","qConnect","99","99","3",0.0860170512210007,NA
"3249","L1CompL2.qConnect.3","qConnect","99","99","3",0.0258801704201453,NA
"3250","L1CompL22.qConnect.3","qConnect","99","99","3",0.00814206928621174,NA
"3251","L1CompL3.qConnect.3","qConnect","99","99","3",0.891120154242113,NA
"3252","L1CompL32.qConnect.3","qConnect","99","99","3",0.650020574578359,NA
"3253","L1CompR1.qConnect.3","qConnect","99","99","3",-0.00415132268174655,NA
"3254","L1CompR12.qConnect.3","qConnect","99","99","3",-0.0535268701414817,NA
"3255","L12CompL2.qConnect.3","qConnect","99","99","3",-2.30286175333214,NA
"3256","L12CompL22.qConnect.3","qConnect","99","99","3",-2.36300476041708,NA
"3257","L12CompL3.qConnect.3","qConnect","99","99","3",0.630830758863073,NA
"3258","L12CompL32.qConnect.3","qConnect","99","99","3",-0.186644213142501,NA
"3259","L12CompR1.qConnect.3","qConnect","99","99","3",-2.40468687479022,NA
"3260","L12CompR12.qConnect.3","qConnect","99","99","3",-2.57210016656659,NA
"3261","L2CompL3.qConnect.3","qConnect","99","99","3",0.888227461908,NA
"3262","L2CompL32.qConnect.3","qConnect","99","99","3",0.640722409302981,NA
"3263","L2CompR1.qConnect.3","qConnect","99","99","3",-0.0308293622508893,NA
"3264","L2CompR12.qConnect.3","qConnect","99","99","3",-0.0815167068263829,NA
"3265","L22CompL3.qConnect.3","qConnect","99","99","3",0.890226369738727,NA
"3266","L22CompL32.qConnect.3","qConnect","99","99","3",0.64714762610228,NA
"3267","L22CompR1.qConnect.3","qConnect","99","99","3",-0.0123943072765586,NA
"3268","L22CompR12.qConnect.3","qConnect","99","99","3",-0.0621751740023025,NA
"3269","L3CompR1.qConnect.3","qConnect","99","99","3",-8.22256378755945,NA
"3270","L3CompR12.qConnect.3","qConnect","99","99","3",-8.67605035448139,NA
"3271","L32CompR1.qConnect.3","qConnect","99","99","3",-1.86917244198566,NA
"3272","L32CompR12.qConnect.3","qConnect","99","99","3",-2.01025372812198,NA
"3273","DCompL1.qTau1.3","qTau1","99","99","3",-3.53493766103213,NA
"3274","DCompL12.qTau1.3","qTau1","99","99","3",-0.697249304536836,NA
"3275","DCompL2.qTau1.3","qTau1","99","99","3",-0.588534586553406,NA
"3276","DCompL22.qTau1.3","qTau1","99","99","3",-0.506474985010531,NA
"3277","DCompL3.qTau1.3","qTau1","99","99","3",-1.27662045595976,NA
"3278","DCompL32.qTau1.3","qTau1","99","99","3",-1.00296249466795,NA
"3279","DCompR1.qTau1.3","qTau1","99","99","3",-0.463374737246881,NA
"3280","DCompR12.qTau1.3","qTau1","99","99","3",-0.475631841111379,NA
"3281","L1CompL2.qTau1.3","qTau1","99","99","3",0.649711924332855,NA
"3282","L1CompL22.qTau1.3","qTau1","99","99","3",0.667806903288795,NA
"3283","L1CompL3.qTau1.3","qTau1","99","99","3",0.497981973264521,NA
"3284","L1CompL32.qTau1.3","qTau1","99","99","3",0.558326344399608,NA
"3285","L1CompR1.qTau1.3","qTau1","99","99","3",0.677310947442258,NA
"3286","L1CompR12.qTau1.3","qTau1","99","99","3",0.674608131046385,NA
"3287","L12CompL2.qTau1.3","qTau1","99","99","3",0.064053476229349,NA
"3288","L12CompL22.qTau1.3","qTau1","99","99","3",0.112402060802945,NA
"3289","L12CompL3.qTau1.3","qTau1","99","99","3",-0.34135889752568,NA
"3290","L12CompL32.qTau1.3","qTau1","99","99","3",-0.180122737015668,NA
"3291","L12CompR1.qTau1.3","qTau1","99","99","3",0.13779623692571,NA
"3292","L12CompR12.qTau1.3","qTau1","99","99","3",0.130574490637917,NA
"3293","L2CompL3.qTau1.3","qTau1","99","99","3",-0.433157625418322,NA
"3294","L2CompL32.qTau1.3","qTau1","99","99","3",-0.260886927878426,NA
"3295","L2CompR1.qTau1.3","qTau1","99","99","3",0.0787895022028325,NA
"3296","L2CompR12.qTau1.3","qTau1","99","99","3",0.0710735204620184,NA
"3297","L22CompL3.qTau1.3","qTau1","99","99","3",-0.511223537471379,NA
"3298","L22CompL32.qTau1.3","qTau1","99","99","3",-0.329569036723134,NA
"3299","L22CompR1.qTau1.3","qTau1","99","99","3",0.0286099989661283,NA
