"","uni","metric","metrix","stage","col","ASnormalized.t7_aglo4.002r","pval"
"166","nCon.13.0","nCon","12","13","1",0.680525711976701,2.7901301399176e-05
"167","Fm.13.0","Fm","13","13","1",3182.0399570134,1.3773114479401e-96
"168","Fo.13.0","Fo","14","13","1",2854.94613314701,4.15372703474241e-72
"169","Quant.14.0","Quant","1","14","1",0.109593443634601,5.4720502536496e-68
"170","Sigma.14.0","Sigma","2","14","1",5.20264069446586,1.70639206620548e-31
"171","Connect.14.0","Connect","3","14","1",0.245180263183617,4.01526989663165e-05
"172","Tau1.14.0","Tau1","4","14","1",2154.05190398864,4.6553924586159e-17
"173","Tau2.14.0","Tau2","5","14","1",3593825.95618994,1.95944115144437e-07
"174","NPQ.14.0","NPQ","6","14","1",0.125654153850726,1.32550181280836e-91
"175","qP.14.0","qP","7","14","1",0.550029773886348,1.09441005072992e-67
"176","ABQ.14.0","ABQ","8","14","1",-0.10471433405195,1.70639206620548e-31
"177","qm.14.0","qm","9","14","1",0.713323006356894,5.4720502536496e-68
"178","nTau1.14.0","nTau1","10","14","1",2.64102332386563,4.6553924586159e-17
"179","nTau2.14.0","nTau2","11","14","1",4.07103495584839,1.95944115144437e-07
"180","nCon.14.0","nCon","12","14","1",0.778831976116969,4.01526989663165e-05
"181","Fm.14.0","Fm","13","14","1",3189.76058731633,1.32550181280836e-91
"182","Fo.14.0","Fo","14","14","1",2840.18374018241,1.09441005072992e-67
"183","Quant.15.0","Quant","1","15","1",0.112081878852845,5.20835193751066e-74
"184","Sigma.15.0","Sigma","2","15","1",5.52720054358346,5.97531293298149e-38
"185","Connect.15.0","Connect","3","15","1",0.216517946952736,1.19774587926744e-06
"186","Tau1.15.0","Tau1","4","15","1",2119.54993501839,8.55706724798677e-18
"187","Tau2.15.0","Tau2","5","15","1",3523082.30185588,8.20333158280307e-08
"188","NPQ.15.0","NPQ","6","15","1",0.123705774136921,3.02170049808686e-98
"189","qP.15.0","qP","7","15","1",0.552248350896462,1.04167038750213e-73
"190","ABQ.15.0","ABQ","8","15","1",-0.173630474649423,5.97531293298149e-38
"191","qm.15.0","qm","9","15","1",0.706813701570195,5.20835193751066e-74
"192","nTau1.15.0","nTau1","10","15","1",2.59872141619061,8.55706724798677e-18
"193","nTau2.15.0","nTau2","11","15","1",3.99089754986122,8.20333158280307e-08
"194","nCon.15.0","nCon","12","15","1",0.687784156442068,1.19774587926744e-06
"195","Fm.15.0","Fm","13","15","1",3195.29127423035,3.02170049808686e-98
"196","Fo.15.0","Fo","14","15","1",2837.15702473251,1.04167038750213e-73
"197","Quant.16.0","Quant","1","16","1",0.0316474387016602,2.54291481413004e-81
"198","Sigma.16.0","Sigma","2","16","1",3.17313925447765,4.62713641994688e-22
"199","Connect.16.0","Connect","3","16","1",0.433740600295374,1.08219675268636e-06
"200","Tau1.16.0","Tau1","4","16","1",2027.38988434914,1.17664145219968e-06
"201","Tau2.16.0","Tau2","5","16","1",8591316.57839117,0.000598690511878697
"202","NPQ.16.0","NPQ","6","16","1",0.0821215576936023,5.72676914879951e-96
"203","qP.16.0","qP","7","16","1",0.276702994168003,5.08582962826007e-81
"204","ABQ.16.0","ABQ","8","16","1",0.326224387916477,4.62713641994688e-22
"205","qm.16.0","qm","9","16","1",0.917215918374227,2.54291481413004e-81
"206","nTau1.16.0","nTau1","10","16","1",2.48572653296825,1.17664145219968e-06
"207","nTau2.16.0","nTau2","11","16","1",9.73212129183635,0.000598690511878697
"208","nCon.16.0","nCon","12","16","1",1.37780686122038,1.08219675268636e-06
