"","uni","metric","metrix","stage","col","ASnormalized.icra9.002r","pval"
"179","nTau2.14.0","nTau2","11","14","1",1.59075939669962,0.0000000307841352786976
"180","nCon.14.0","nCon","12","14","1",0.937328491726446,0.000000000128416428452842
"181","Fm.14.0","Fm","13","14","1",2077.66920898408,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000612830147080374
"182","Fo.14.0","Fo","14","14","1",1781.64889368467,0.00000000000000000000000000000000000000000000000000000000000000000000000270748817510828
"183","Quant.15.0","Quant","1","15","1",0.148800698320352,0.0000000000000000000000000000000000000000000000000000000000000000000000000662074977367221
"184","Sigma.15.0","Sigma","2","15","1",4.93285225455301,0.000000000000000000000000000000000000000000595637290276615
"185","Connect.15.0","Connect","3","15","1",0.228216203029336,0.00000000100681921160154
"186","Tau1.15.0","Tau1","4","15","1",1504.32746733261,0.0000000000000000200471037936394
"187","Tau2.15.0","Tau2","5","15","1",2870824.08960883,0.000000181653205290952
"188","NPQ.15.0","NPQ","6","15","1",0.245983189154588,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000769969475964028
"189","qP.15.0","qP","7","15","1",0.653483960937624,0.000000000000000000000000000000000000000000000000000000000000000000000000132414995473444
"190","ABQ.15.0","ABQ","8","15","1",-0.009117948538931,0.000000000000000000000000000000000000000000595637290276615
"191","qm.15.0","qm","9","15","1",0.536105386712341,0.0000000000000000000000000000000000000000000000000000000000000000000000000662074977367221
"192","nTau1.15.0","nTau1","10","15","1",1.87411515671236,0.0000000000000000200471037936394
"193","nTau2.15.0","nTau2","11","15","1",1.5966932230756,0.000000181653205290952
"194","nCon.15.0","nCon","12","15","1",0.797985143560215,0.00000000100681921160154
"195","Fm.15.0","Fm","13","15","1",2099.2128500091,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000769969475964028
"196","Fo.15.0","Fo","14","15","1",1786.84851200469,0.000000000000000000000000000000000000000000000000000000000000000000000000132414995473444
"197","Quant.16.0","Quant","1","16","1",0.0561445090571886,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000164061556488506
"198","Sigma.16.0","Sigma","2","16","1",3.12320814999108,0.0000000000000000000000000000000460931906306009
"199","Connect.16.0","Connect","3","16","1",0.446586426582546,0.0000000000000306140862555945
"200","Tau1.16.0","Tau1","4","16","1",1505.43645228688,0.00000000000000422732011212099
"201","Tau2.16.0","Tau2","5","16","1",7918995.0658723,0.000000163180397481115
"202","NPQ.16.0","NPQ","6","16","1",0.215778514318443,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000272103321535115
"203","qP.16.0","qP","7","16","1",0.461295494165204,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000328123112977013
"204","ABQ.16.0","ABQ","8","16","1",0.361082546457768,0.0000000000000000000000000000000460931906306009
"205","qm.16.0","qm","9","16","1",0.824966309894342,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000164061556488506
"206","nTau1.16.0","nTau1","10","16","1",1.87549674785957,0.00000000000000422732011212099
"207","nTau2.16.0","nTau2","11","16","1",4.40438193374999,0.000000163180397481115
"208","nCon.16.0","nCon","12","16","1",1.5615426468326,0.0000000000000306140862555945
"209","Fm.16.0","Fm","13","16","1",2151.36547550761,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000272103321535115
"210","Fo.16.0","Fo","14","16","1",2030.57811708265,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000328123112977013
"211","Quant.17.0","Quant","1","17","1",0.0605105739915005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000432792945722179
"212","Sigma.17.0","Sigma","2","17","1",3.39156227522986,0.00000000000000000000000000000000511219409367807
"213","Connect.17.0","Connect","3","17","1",0.338454240346398,0.000000000914021591271579
"214","Tau1.17.0","Tau1","4","17","1",1785.15401366625,0.000000000000191809791996604
"215","Tau2.17.0","Tau2","5","17","1",8154508.18304885,0.000035907554778558
"216","NPQ.17.0","NPQ","6","17","1",0.28897010844022,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000703622835982246
"217","qP.17.0","qP","7","17","1",0.559201110716512,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000865585891444359
"218","ABQ.17.0","ABQ","8","17","1",0.306185105713831,0.00000000000000000000000000000000511219409367807
"219","qm.17.0","qm","9","17","1",0.811354854927034,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000432792945722179
"220","nTau1.17.0","nTau1","10","17","1",2.22397334804371,0.000000000000191809791996604
"221","nTau2.17.0","nTau2","11","17","1",4.53536947823324,0.000035907554778558
"222","nCon.17.0","nCon","12","17","1",1.18344557479412,0.000000000914021591271579
"223","Fm.17.0","Fm","13","17","1",2029.20448227751,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000703622835982246
"224","Fo.17.0","Fo","14","17","1",1906.41615430878,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000865585891444359
"225","Quant.18.0","Quant","1","18","1",0.0653416504530526,0.00000000000000000000000000000000000000000000000000000000000000000000000000000164517706001396
"226","Sigma.18.0","Sigma","2","18","1",3.51148607405547,0.000000000000000000000000000000274502616299944
"227","Connect.18.0","Connect","3","18","1",0.487165546906701,0.0000000000000240363589185189
"228","Tau1.18.0","Tau1","4","18","1",1492.65379467135,0.000000000000145252940058096
"229","Tau2.18.0","Tau2","5","18","1",8104707.05028451,0.0000309658035028236
"230","NPQ.18.0","NPQ","6","18","1",0.308446157340106,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000273812501030737
"231","qP.18.0","qP","7","18","1",0.589192176784378,0.00000000000000000000000000000000000000000000000000000000000000000000000000000329035412002792
"232","ABQ.18.0","ABQ","8","18","1",0.281652188122352,0.000000000000000000000000000000274502616299944
"233","qm.18.0","qm","9","18","1",0.796293700159669,0.00000000000000000000000000000000000000000000000000000000000000000000000000000164517706001396
"234","nTau1.18.0","nTau1","10","18","1",1.85957190908572,0.000000000000145252940058096
"235","nTau2.18.0","nTau2","11","18","1",4.50767111403387,0.0000309658035028236
"236","nCon.18.0","nCon","12","18","1",1.70343237564058,0.0000000000000240363589185189
"237","Fm.18.0","Fm","13","18","1",1999.00004054103,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000273812501030737
"238","Fo.18.0","Fo","14","18","1",1868.38207863636,0.00000000000000000000000000000000000000000000000000000000000000000000000000000329035412002792
"239","Quant.19.0","Quant","1","19","1",0.0630197073642027,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000455570311755921
"240","Sigma.19.0","Sigma","2","19","1",3.09605937896264,0.0000000000000000000000000000000718201367921193
"241","Connect.19.0","Connect","3","19","1",0.352007147904264,0.00000000412819882170282
"242","Tau1.19.0","Tau1","4","19","1",1184.62948901029,0.000000000000000312072132661863
"243","Tau2.19.0","Tau2","5","19","1",11673788.7136238,0.0000981136485956936
"244","NPQ.19.0","NPQ","6","19","1",0.348925044189612,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016317147558799
"245","qP.19.0","qP","7","19","1",0.629852492756805,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000911140623511841
"246","ABQ.19.0","ABQ","8","19","1",0.366636394558588,0.0000000000000000000000000000000718201367921193
"247","qm.19.0","qm","9","19","1",0.803532489382008,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000455570311755921
"248","nTau1.19.0","nTau1","10","19","1",1.47583031530975,0.000000000000000312072132661863
"249","nTau2.19.0","nTau2","11","19","1",6.49272081634208,0.0000981136485956936
"250","nCon.19.0","nCon","12","19","1",1.230834930763,0.00000000412819882170282
"251","Fm.19.0","Fm","13","19","1",1939.01353736077,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016317147558799
"252","Fo.19.0","Fo","14","19","1",1816.81747166106,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000911140623511841
"253","Quant.20.0","Quant","1","20","1",0.0653581755360672,0.000000000000000000000000000000000000000000000000000000000000000000000000000000030905270354892
"254","Sigma.20.0","Sigma","2","20","1",3.32088958231998,0.000000000000000000000000000000157530487213003
"255","Connect.20.0","Connect","3","20","1",0.444138518999419,0.00000000000667306014084751
"256","Tau1.20.0","Tau1","4","20","1",1314.79950486643,0.00000000000137565951595931
"257","Tau2.20.0","Tau2","5","20","1",6622644.99778998,0.0000151218020688361
"258","NPQ.20.0","NPQ","6","20","1",0.398496448418698,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000491092768679019
"259","qP.20.0","qP","7","20","1",0.684082087648189,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000618105407097835
"260","ABQ.20.0","ABQ","8","20","1",0.32064268100835,0.000000000000000000000000000000157530487213003
"261","qm.20.0","qm","9","20","1",0.796242182276479,0.000000000000000000000000000000000000000000000000000000000000000000000000000000030905270354892
"262","nTau1.20.0","nTau1","10","20","1",1.63799819761136,0.00000000000137565951595931
"263","nTau2.20.0","nTau2","11","20","1",3.68337872915355,0.0000151218020688361
