"","uni","metric","metrix","stage","col","cclong2025.nah11.002","pval"
"1475","Ratio42","Ratio42","Ratio42","Ratio42","Ratio42",0.903800902653187,NA
"1476","mean.1.rQuant.All","rQuant","1","All","1",0.172687759385949,NA
"1477","min.1.rQuant.All","rQuant","1","All","1",0.0617973113803375,NA
"1478","max.1.rQuant.All","rQuant","1","All","1",0.347174967047173,NA
"1479","range.1.rQuant.All","rQuant","1","All","1",0.285377655666835,NA
"1480","slope.1.rQuant.All","rQuant","1","All","1",0.00472400395004133,NA
"1481","mean.1.rSigma.All","rSigma","2","All","1",4.06539497640969,NA
"1482","min.1.rSigma.All","rSigma","2","All","1",3.64383181490946,NA
"1483","max.1.rSigma.All","rSigma","2","All","1",4.60287195871694,NA
"1484","range.1.rSigma.All","rSigma","2","All","1",0.95904014380748,NA
"1485","slope.1.rSigma.All","rSigma","2","All","1",-0.0125313390615757,NA
"1486","mean.1.rConnect.All","rConnect","3","All","1",0.206986552797428,NA
"1487","min.1.rConnect.All","rConnect","3","All","1",0.0548029719349302,NA
"1488","max.1.rConnect.All","rConnect","3","All","1",0.294554089999692,NA
"1489","range.1.rConnect.All","rConnect","3","All","1",0.239751118064762,NA
"1490","slope.1.rConnect.All","rConnect","3","All","1",0.00507287520948806,NA
"1491","mean.1.rTau1.All","rTau1","4","All","1",690.975702592684,NA
"1492","min.1.rTau1.All","rTau1","4","All","1",338.498198029467,NA
"1493","max.1.rTau1.All","rTau1","4","All","1",1021.27502421923,NA
"1494","range.1.rTau1.All","rTau1","4","All","1",682.776826189763,NA
"1495","slope.1.rTau1.All","rTau1","4","All","1",9.38921220002658,NA
"1496","mean.1.rTau2.All","rTau2","5","All","1",2329862.60180042,NA
"1497","min.1.rTau2.All","rTau2","5","All","1",878789.88097613,NA
"1498","max.1.rTau2.All","rTau2","5","All","1",5481283.78484893,NA
"1499","range.1.rTau2.All","rTau2","5","All","1",4602493.9038728,NA
"1500","slope.1.rTau2.All","rTau2","5","All","1",-65800.286270278,NA
"1501","mean.1.rNPQ.All","rNPQ","6","All","1",0.644667811601422,NA
"1502","min.1.rNPQ.All","rNPQ","6","All","1",0.0248752880413345,NA
"1503","max.1.rNPQ.All","rNPQ","6","All","1",1.26946576440105,NA
"1504","range.1.rNPQ.All","rNPQ","6","All","1",1.24459047635972,NA
"1505","slope.1.rNPQ.All","rNPQ","6","All","1",0.0381039490224666,NA
"1506","mean.1.rqP.All","rqP","7","All","1",0.683610902472828,NA
"1507","min.1.rqP.All","rqP","7","All","1",0.128182062869372,NA
"1508","max.1.rqP.All","rqP","7","All","1",1,NA
"1509","range.1.rqP.All","rqP","7","All","1",0.871817937130628,NA
"1510","slope.1.rqP.All","rqP","7","All","1",0.0245646320280043,NA
"1511","mean.1.rABQ.All","rABQ","8","All","1",0.116769918244061,NA
"1512","min.1.rABQ.All","rABQ","8","All","1",0,NA
"1513","max.1.rABQ.All","rABQ","8","All","1",0.208356902475039,NA
"1514","range.1.rABQ.All","rABQ","8","All","1",0.208356902475039,NA
"1515","slope.1.rABQ.All","rABQ","8","All","1",0.00272250437856384,NA
"1516","mean.1.rqm.All","rqm","9","All","1",0.502591558214264,NA
"1517","min.1.rqm.All","rqm","9","All","1",0,NA
"1518","max.1.rqm.All","rqm","9","All","1",0.821999518266129,NA
"1519","range.1.rqm.All","rqm","9","All","1",0.821999518266129,NA
"1520","slope.1.rqm.All","rqm","9","All","1",-0.0136069832171956,NA
"1521","mean.2.rQuant.All","rQuant","1","All","2",0.172908048272149,NA
"1522","min.2.rQuant.All","rQuant","1","All","2",0.0587617423680185,NA
"1523","max.2.rQuant.All","rQuant","1","All","2",0.333207357751775,NA
"1524","range.2.rQuant.All","rQuant","1","All","2",0.274445615383757,NA
"1525","slope.2.rQuant.All","rQuant","1","All","2",0.00508499895268998,NA
"1526","mean.2.rSigma.All","rSigma","2","All","2",3.53027137630928,NA
"1527","min.2.rSigma.All","rSigma","2","All","2",3.23326652954655,NA
"1528","max.2.rSigma.All","rSigma","2","All","2",4.4526723400093,NA
"1529","range.2.rSigma.All","rSigma","2","All","2",1.21940581046275,NA
"1530","slope.2.rSigma.All","rSigma","2","All","2",-0.00299967454733626,NA
"1531","mean.2.rConnect.All","rConnect","3","All","2",0.264678414491656,NA
