"","uni","metric","metrix","stage","col","ASnormalized.icra4.002r","pval"
"799","Quant.7.2","Quant","1","7","3",0.0613504083198742,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000920906523313797
"800","Sigma.7.2","Sigma","2","7","3",3.36103357905862,0.0000000000000000000000000000123544081493004
"801","Connect.7.2","Connect","3","7","3",0.398997588792091,0.0000000683887193518054
"802","Tau1.7.2","Tau1","4","7","3",1290.70791807564,0.00000000000000000742901557217599
"803","Tau2.7.2","Tau2","5","7","3",10805866.9691647,0.000243206042269444
"804","NPQ.7.2","NPQ","6","7","3",0.294514563585787,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000206930750946915
"805","qP.7.2","qP","7","7","3",0.577823159462552,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000184181304662759
"806","ABQ.7.2","ABQ","8","7","3",0.175411219123037,0.0000000000000000000000000000123544081493004
"807","qm.7.2","qm","9","7","3",0.796514917827946,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000920906523313797
"808","nTau1.7.2","nTau1","10","7","3",1.76518295472376,0.00000000000000000742901557217599
"809","nTau2.7.2","nTau2","11","7","3",5.9401631902443,0.000243206042269444
"810","nCon.7.2","nCon","12","7","3",1.25725814499769,0.0000000683887193518054
"811","Fm.7.2","Fm","13","7","3",2125.59472927937,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000206930750946915
"812","Fo.7.2","Fo","14","7","3",1995.18862471551,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000184181304662759
"813","Quant.8.2","Quant","1","8","3",0.0626116452125159,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000767289932513484
"814","Sigma.8.2","Sigma","2","8","3",3.67516971453517,0.0000000000000000000000000000000208273154334271
"815","Connect.8.2","Connect","3","8","3",0.255150198530749,0.0000382929477275471
"816","Tau1.8.2","Tau1","4","8","3",1315.46590280772,0.000000000000946375584805125
"817","Tau2.8.2","Tau2","5","8","3",12947907.582174,0.0096540396355027
"818","NPQ.8.2","NPQ","6","8","3",0.321856366667577,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000651544791404534
"819","qP.8.2","qP","7","8","3",0.611353760536355,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000153457986502697
"820","ABQ.8.2","ABQ","8","8","3",0.0983417323449366,0.0000000000000000000000000000000208273154334271
"821","qm.8.2","qm","9","8","3",0.792331687434441,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000767289932513484
"822","nTau1.8.2","nTau1","10","8","3",1.79904218192021,0.000000000000946375584805125
"823","nTau2.8.2","nTau2","11","8","3",7.11767822330135,0.0096540396355027
"824","nCon.8.2","nCon","12","8","3",0.803988982168309,0.0000382929477275471
"825","Fm.8.2","Fm","13","8","3",2081.62808208141,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000651544791404534
"826","Fo.8.2","Fo","14","8","3",1951.29392314172,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000153457986502697
"827","Quant.9.2","Quant","1","9","3",0.065587618396794,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000676268795083885
"828","Sigma.9.2","Sigma","2","9","3",3.35998090925335,0.000000000000000000000000000000000241012800199997
"829","Connect.9.2","Connect","3","9","3",0.294223549260152,0.000000464484934292032
"830","Tau1.9.2","Tau1","4","9","3",978.321099023366,0.000000000000806500302571789
"831","Tau2.9.2","Tau2","5","9","3",7992762.3170139,0.000131527533073211
"832","NPQ.9.2","NPQ","6","9","3",0.348860530413155,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117229863451831
"833","qP.9.2","qP","7","9","3",0.645832357950778,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000135253759016777
"834","ABQ.9.2","ABQ","8","9","3",0.175669478878846,0.000000000000000000000000000000000241012800199997
"835","qm.9.2","qm","9","9","3",0.782461074271,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000676268795083885
"836","nTau1.9.2","nTau1","10","9","3",1.33796012564747,0.000000000000806500302571789
"837","nTau2.9.2","nTau2","11","9","3",4.39375319346244,0.000131527533073211
"838","nCon.9.2","nCon","12","9","3",0.927110749910348,0.000000464484934292032
"839","Fm.9.2","Fm","13","9","3",2039.95392502924,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117229863451831
"840","Fo.9.2","Fo","14","9","3",1906.15820544738,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000135253759016777
"841","Quant.10.2","Quant","1","10","3",0.100364305839296,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000125953371246019
"842","Sigma.10.2","Sigma","2","10","3",3.64216105881073,0.000000000000000000000000000000000000000806622787723297
"843","Connect.10.2","Connect","3","10","3",0.282221186145003,0.0000000033437032705041
"844","Tau1.10.2","Tau1","4","10","3",1496.84122034536,0.00000000000000158699932824333
"845","Tau2.10.2","Tau2","5","10","3",4752673.91006487,0.0000159750867568789
"846","NPQ.10.2","NPQ","6","10","3",0.365691204292449,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000995272846582245
"847","qP.10.2","qP","7","10","3",0.717301564062008,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000251906742492038
"848","ABQ.10.2","ABQ","8","10","3",0.106440005254733,0.000000000000000000000000000000000000000806622787723297
"849","qm.10.2","qm","9","10","3",0.667114863940777,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000125953371246019
"850","nTau1.10.2","nTau1","10","10","3",2.04709258468089,0.00000000000000158699932824333
"851","nTau2.10.2","nTau2","11","10","3",2.61262318852923,0.0000159750867568789
"852","nCon.10.2","nCon","12","10","3",0.889290800092046,0.0000000033437032705041
"853","Fm.10.2","Fm","13","10","3",2014.8136889839,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000995272846582245
"854","Fo.10.2","Fo","14","10","3",1812.59831169352,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000251906742492038
"855","Quant.11.2","Quant","1","11","3",0.109358201500055,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000435878128462246
"856","Sigma.11.2","Sigma","2","11","3",3.71063997387106,0.0000000000000000000000000000000000000000000114967014909266
"857","Connect.11.2","Connect","3","11","3",0.247421109514575,0.000000000307874284590918
"858","Tau1.11.2","Tau1","4","11","3",1356.68693545941,0.00000000000000000137244606488534
"859","Tau2.11.2","Tau2","5","11","3",3714591.04047483,0.0000000227873381679383
"860","NPQ.11.2","NPQ","6","11","3",0.343797938379037,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103000134102053
"861","qP.11.2","qP","7","11","3",0.708811151276789,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000871756256924492
"862","ABQ.11.2","ABQ","8","11","3",0.0896395348764534,0.0000000000000000000000000000000000000000000114967014909266
"863","qm.11.2","qm","9","11","3",0.637284196995016,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000435878128462246
"864","nTau1.11.2","nTau1","10","11","3",1.85541641128216,0.00000000000000000137244606488534
"865","nTau2.11.2","nTau2","11","11","3",2.0419719239932,0.0000000227873381679383
"866","nCon.11.2","nCon","12","11","3",0.779634298350759,0.000000000307874284590918
"867","Fm.11.2","Fm","13","11","3",2047.6391983846,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103000134102053
"868","Fo.11.2","Fo","14","11","3",1823.71305832825,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000871756256924492
"869","Quant.12.2","Quant","1","12","3",0.116738285262579,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000023251483571107
"870","Sigma.12.2","Sigma","2","12","3",3.85166438620415,0.00000000000000000000000000000000000000000002699358571222
"871","Connect.12.2","Connect","3","12","3",0.240734834242742,0.00000000146681117765105
"872","Tau1.12.2","Tau1","4","12","3",1440.43392142314,0.00000000000000341243702091487
"873","Tau2.12.2","Tau2","5","12","3",3722705.83067903,0.00000513447789518338
"874","NPQ.12.2","NPQ","6","12","3",0.343421810709101,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000124056129370783
