"","uni","metric","metrix","stage","col","ASnormalized.aabr3.005r","pval"
"141","Quant.12.0","Quant","1","12","1",0.0993798851455757,0.000000000000000000000000000000000000000000000000000000000000000000000000000253267035112146
"142","Sigma.12.0","Sigma","2","12","1",4.43010255027823,0.000000000000000000000000000000000000161244739450357
"143","Connect.12.0","Connect","3","12","1",0.258808813469786,0.0000000136464486824961
"144","Tau1.12.0","Tau1","4","12","1",1555.3281446681,0.0000000000000000011627356288831
"145","Tau2.12.0","Tau2","5","12","1",3977615.17754993,0.00000000989636149058288
"146","NPQ.12.0","NPQ","6","12","1",0.144042691162889,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000742247595494955
"147","qP.12.0","qP","7","12","1",0.511392548964377,0.000000000000000000000000000000000000000000000000000000000000000000000000000506534070224292
"148","ABQ.12.0","ABQ","8","12","1",-0.00449718245225261,0.000000000000000000000000000000000000161244739450357
"149","qm.12.0","qm","9","12","1",0.735187460189435,0.000000000000000000000000000000000000000000000000000000000000000000000000000253267035112146
"150","nTau1.12.0","nTau1","10","12","1",2.22383426990189,0.0000000000000000011627356288831
"151","nTau2.12.0","nTau2","11","12","1",3.70893466729576,0.00000000989636149058288
"152","nCon.12.0","nCon","12","12","1",0.773075345143885,0.0000000136464486824961
"153","Fm.12.0","Fm","13","12","1",2927.07574088802,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000742247595494955
"154","Fo.12.0","Fo","14","12","1",2636.18328994617,0.000000000000000000000000000000000000000000000000000000000000000000000000000506534070224292
"155","Quant.13.0","Quant","1","13","1",0.105173653898265,0.00000000000000000000000000000000000000000000000000000000000000000000000000476056126731075
"156","Sigma.13.0","Sigma","2","13","1",4.76378470996646,0.0000000000000000000000000000000000000654798483436259
"157","Connect.13.0","Connect","3","13","1",0.273665386208591,0.00000000256155322043854
"158","Tau1.13.0","Tau1","4","13","1",1702.71274335568,0.000000000000000000122700734523043
"159","Tau2.13.0","Tau2","5","13","1",3803059.87544184,0.00000000358145474024043
"160","NPQ.13.0","NPQ","6","13","1",0.14420000810746,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000185249657403797
