"","uni","metric","metrix","stage","col","ASnormalized.occ2_aglo12.005r","pval"
"659","Quant.23.1","Quant","1","23","2",0.198879719486692,0.00000000000000000000000000000000000000000000000000000000000000000000561762051183245
"660","Sigma.23.1","Sigma","2","23","2",5.35207097144768,0.00000000000000000000000000000000000000000000967694296773189
"661","Connect.23.1","Connect","3","23","2",0.241779914040223,0.000000000043700402788017
"662","Tau1.23.1","Tau1","4","23","2",1652.65863014288,0.00000000000000103436531111991
"663","Tau2.23.1","Tau2","5","23","2",1476496.51215478,0.00000000000115829494452862
"664","NPQ.23.1","NPQ","6","23","2",0.541603738314058,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000197998969237519
"665","qP.23.1","qP","7","23","2",1,0.0000000000000000000000000000000000000000000000000000000000000000000112352410236649
"666","ABQ.23.1","ABQ","8","23","2",-0.16337389830802,0.00000000000000000000000000000000000000000000967694296773189
"667","qm.23.1","qm","9","23","2",0.451045229332952,0.00000000000000000000000000000000000000000000000000000000000000000000561762051183245
"668","nTau1.23.1","nTau1","10","23","2",2.43598445234226,0.00000000000000103436531111991
"669","nTau2.23.1","nTau2","11","23","2",1.99943138297843,0.00000000000115829494452862
"670","nCon.23.1","nCon","12","23","2",0.747388244119864,0.000000000043700402788017
"671","Fm.23.1","Fm","13","23","2",2409.1253636478,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000197998969237519
"672","Fo.23.1","Fo","14","23","2",1929.99918711725,0.0000000000000000000000000000000000000000000000000000000000000000000112352410236649
"673","Quant.24.1","Quant","1","24","2",0.207482616108323,0.00000000000000000000000000000000000000000000000000000000000000000395813172684619
"674","Sigma.24.1","Sigma","2","24","2",5.37652503179092,0.000000000000000000000000000000000000000000401181381336373
"675","Connect.24.1","Connect","3","24","2",0.237260427196905,0.00000000139730335422361
"676","Tau1.24.1","Tau1","4","24","2",1522.4878206542,0.00000000000000000439546026546845
"677","Tau2.24.1","Tau2","5","24","2",1406202.15700549,0.0000000000000347514939778406
"678","NPQ.24.1","NPQ","6","24","2",0.483404647414545,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000968743580251984
"679","qP.24.1","qP","7","24","2",0.969627546683384,0.00000000000000000000000000000000000000000000000000000000000000000791626345369239
"680","ABQ.24.1","ABQ","8","24","2",-0.168689451046902,0.000000000000000000000000000000000000000000401181381336373
"681","qm.24.1","qm","9","24","2",0.427299212624014,0.00000000000000000000000000000000000000000000000000000000000000000395813172684619
"682","nTau1.24.1","nTau1","10","24","2",2.2441153861723,0.00000000000000000439546026546845
"683","nTau2.24.1","nTau2","11","24","2",1.90424068081645,0.0000000000000347514939778406
"684","nCon.24.1","nCon","12","24","2",0.733417640525437,0.00000000139730335422361
"685","Fm.24.1","Fm","13","24","2",2503.64367749536,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000968743580251984
"686","Fo.24.1","Fo","14","24","2",1984.18113748556,0.00000000000000000000000000000000000000000000000000000000000000000791626345369239
"687","Quant.25.1","Quant","1","25","2",0.215664559210978,0.000000000000000000000000000000000000000000000000000000000000000000704776701678808
"688","Sigma.25.1","Sigma","2","25","2",5.24280783355684,0.0000000000000000000000000000000000000000000345841205196709
"689","Connect.25.1","Connect","3","25","2",0.161870591967816,0.000004529307924694
"690","Tau1.25.1","Tau1","4","25","2",1569.22251471909,0.0000000000000000276853146090839
"691","Tau2.25.1","Tau2","5","25","2",1361014.71062719,0.000000000000533923388156118
"692","NPQ.25.1","NPQ","6","25","2",0.463757543113044,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000247893448931816
"693","qP.25.1","qP","7","25","2",0.96633546477276,0.00000000000000000000000000000000000000000000000000000000000000000140955340335762
"694","ABQ.25.1","ABQ","8","25","2",-0.13962348779449,0.0000000000000000000000000000000000000000000345841205196709
"695","qm.25.1","qm","9","25","2",0.404715126568777,0.000000000000000000000000000000000000000000000000000000000000000000704776701678808
"696","nTau1.25.1","nTau1","10","25","2",2.31300135333491,0.0000000000000000276853146090839
"697","nTau2.25.1","nTau2","11","25","2",1.84304907104178,0.000000000000533923388156118
"698","nCon.25.1","nCon","12","25","2",0.50037315128395,0.000004529307924694
"699","Fm.25.1","Fm","13","25","2",2537.24852462116,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000247893448931816
"700","Fo.25.1","Fo","14","25","2",1990.05393995003,0.00000000000000000000000000000000000000000000000000000000000000000140955340335762
"701","Quant.26.1","Quant","1","26","2",0.215848813167418,0.0000000000000000000000000000000000000000000000000000000000000000000795786936284581
"702","Sigma.26.1","Sigma","2","26","2",5.44359924974412,0.00000000000000000000000000000000000000000000144506953418296
"703","Connect.26.1","Connect","3","26","2",0.225231610100205,0.000000000347498920288472
"704","Tau1.26.1","Tau1","4","26","2",1559.52337613477,0.00000000000000000591489779902705
"705","Tau2.26.1","Tau2","5","26","2",1257249.44472889,0.0000000000000352333223927478
"706","NPQ.26.1","NPQ","6","26","2",0.461593670513792,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000225160815610009
"707","qP.26.1","qP","7","26","2",0.964946352458543,0.000000000000000000000000000000000000000000000000000000000000000000159157387256916
"708","ABQ.26.1","ABQ","8","26","2",-0.183269301507121,0.00000000000000000000000000000000000000000000144506953418296
"709","qm.26.1","qm","9","26","2",0.404206542341774,0.0000000000000000000000000000000000000000000000000000000000000000000795786936284581
"710","nTau1.26.1","nTau1","10","26","2",2.29870502476374,0.00000000000000000591489779902705
"711","nTau2.26.1","nTau2","11","26","2",1.70253297270208,0.0000000000000352333223927478
"712","nCon.26.1","nCon","12","26","2",0.696234251969651,0.000000000347498920288472
"713","Fm.26.1","Fm","13","26","2",2541.00489184598,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000225160815610009
"714","Fo.26.1","Fo","14","26","2",1992.53200168842,0.000000000000000000000000000000000000000000000000000000000000000000159157387256916
"715","Quant.27.1","Quant","1","27","2",0.226158331981237,0.000000000000000000000000000000000000000000000000000000000000000000260254154408141
"716","Sigma.27.1","Sigma","2","27","2",5.46843012731953,0.000000000000000000000000000000000000000000000428179367222581
"717","Connect.27.1","Connect","3","27","2",0.229833759284815,0.0000000000863534315891534
"718","Tau1.27.1","Tau1","4","27","2",1587.06376998485,0.0000000000000000112628528568906
"719","Tau2.27.1","Tau2","5","27","2",1240628.54891154,0.000000000000131893307460845
"720","NPQ.27.1","NPQ","6","27","2",0.44873620926166,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000402161285087519
"721","qP.27.1","qP","7","27","2",0.969848714334209,0.000000000000000000000000000000000000000000000000000000000000000000520508308816282
"722","ABQ.27.1","ABQ","8","27","2",-0.188666762601606,0.000000000000000000000000000000000000000000000428179367222581
"723","qm.27.1","qm","9","27","2",0.37574984725625,0.000000000000000000000000000000000000000000000000000000000000000000260254154408141
"724","nTau1.27.1","nTau1","10","27","2",2.33929899257207,0.0000000000000000112628528568906
"725","nTau2.27.1","nTau2","11","27","2",1.68002540804694,0.000000000000131893307460845
"726","nCon.27.1","nCon","12","27","2",0.710460380769133,0.0000000000863534315891534
