"","Name","TG6 Camera #","Date","CBASS / Sophie","Species","Size (cm)","PM (% dead)","Bleaching (%)","Colony Depth (ft)","Colony Photo","Tag #","Bag_number","Notes","Site","Tank_color","Temperature","SampleID_clean","Project","Country","SITE","Latitude","Longitude","Genotype","Condition","Pam_value","Timepoint","MINIMUM_DEPTH_FEET","MAXIMUM_DEPTH_FEET","MINIMUM_DEPTH_METERS","MAXIMUM_DEPTH_METERS","Color_mean","Color_SD"
"42","KT",1,2026-02-10,"CBASS","aglo",50,15,0,35,TRUE,NA,"14",NA,11,"2-blue",37,"11_AGLO_7","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,7,"wild",0.542,420,29,44,8.8392,13.4112,5.167,0.553
"43","KT",1,2026-02-10,"CBASS","aglo",50,15,0,35,TRUE,NA,"14",NA,11,"3-red",34,"11_AGLO_7","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,7,"wild",0.665,420,29,44,8.8392,13.4112,5.961,0.942
"44","KT",1,2026-02-10,"CBASS","aglo",50,15,0,35,TRUE,NA,"14",NA,11,"4-yellow",35,"11_AGLO_7","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,7,"wild",0.666,420,29,44,8.8392,13.4112,6.26,0.497
"45","KT",1,2026-02-10,"CBASS","aglo",50,15,0,35,TRUE,NA,"14",NA,11,"5-orange",38,"11_AGLO_7","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,7,"wild",0.374,420,29,44,8.8392,13.4112,6.185,0.807
"46","KT",1,2026-02-10,"CBASS","aglo",50,15,0,35,TRUE,NA,"14",NA,11,"6-brown",39,"11_AGLO_7","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,7,"wild",0.186,420,29,44,8.8392,13.4112,5.476,0.939
"47","KT",1,2026-02-10,"CBASS","aglo",50,15,0,35,TRUE,NA,"14",NA,11,"7-grey",32,"11_AGLO_7","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,7,"wild",0.682,420,29,44,8.8392,13.4112,6.922,0.275
"48","KT",1,2026-02-10,"CBASS","aglo",50,15,0,35,TRUE,NA,"14",NA,11,"8-purple",36,"11_AGLO_7","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,7,"wild",0.654,420,29,44,8.8392,13.4112,5.906,0.766
"49","KT",1,2026-02-10,"CBASS","aglo",37,1,0,37,TRUE,NA,"23","IN SPIRAL",11,"1-green",29,"11_AGLO_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.665,420,29,44,8.8392,13.4112,7.679,0.311
"50","KT",1,2026-02-10,"CBASS","aglo",37,1,0,37,TRUE,NA,"23","IN SPIRAL",11,"2-blue",37,"11_AGLO_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.493,420,29,44,8.8392,13.4112,6.196,0.815
"51","KT",1,2026-02-10,"CBASS","aglo",37,1,0,37,TRUE,NA,"23","IN SPIRAL",11,"3-red",34,"11_AGLO_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.633,420,29,44,8.8392,13.4112,4.787,0.96
"52","KT",1,2026-02-10,"CBASS","aglo",37,1,0,37,TRUE,NA,"23","IN SPIRAL",11,"4-yellow",35,"11_AGLO_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.661,420,29,44,8.8392,13.4112,5.547,0.575
"53","KT",1,2026-02-10,"CBASS","aglo",37,1,0,37,TRUE,NA,"23","IN SPIRAL",11,"5-orange",38,"11_AGLO_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.279,420,29,44,8.8392,13.4112,3.753,0.473
"54","KT",1,2026-02-10,"CBASS","aglo",37,1,0,37,TRUE,NA,"23","IN SPIRAL",11,"6-brown",39,"11_AGLO_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.058,420,29,44,8.8392,13.4112,4.99,0.917
"55","KT",1,2026-02-10,"CBASS","aglo",37,1,0,37,TRUE,NA,"23","IN SPIRAL",11,"7-grey",32,"11_AGLO_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.684,420,29,44,8.8392,13.4112,6.113,0.386
"56","KT",1,2026-02-10,"CBASS","aglo",37,1,0,37,TRUE,NA,"23","IN SPIRAL",11,"8-purple",36,"11_AGLO_1","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,1,"wild",0.579,420,29,44,8.8392,13.4112,5.475,0.537
"57","KT",1,2026-02-10,"CBASS","aglo",55,1,0,38,TRUE,NA,"24",NA,11,"1-green",29,"11_AGLO_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.635,420,29,44,8.8392,13.4112,6.499,0.632
"58","KT",1,2026-02-10,"CBASS","aglo",55,1,0,38,TRUE,NA,"24",NA,11,"2-blue",37,"11_AGLO_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.608,420,29,44,8.8392,13.4112,5.722,0.584
"59","KT",1,2026-02-10,"CBASS","aglo",55,1,0,38,TRUE,NA,"24",NA,11,"3-red",34,"11_AGLO_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.586,420,29,44,8.8392,13.4112,5.654,0.319
"60","KT",1,2026-02-10,"CBASS","aglo",55,1,0,38,TRUE,NA,"24",NA,11,"4-yellow",35,"11_AGLO_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.647,420,29,44,8.8392,13.4112,5.037,0.576
"61","KT",1,2026-02-10,"CBASS","aglo",55,1,0,38,TRUE,NA,"24",NA,11,"5-orange",38,"11_AGLO_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.413,420,29,44,8.8392,13.4112,5.866,0.631
"62","KT",1,2026-02-10,"CBASS","aglo",55,1,0,38,TRUE,NA,"24",NA,11,"6-brown",39,"11_AGLO_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.161,420,29,44,8.8392,13.4112,4.394,0.749
"63","KT",1,2026-02-10,"CBASS","aglo",55,1,0,38,TRUE,NA,"24",NA,11,"7-grey",32,"11_AGLO_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.656,420,29,44,8.8392,13.4112,6.045,0.426
"64","KT",1,2026-02-10,"CBASS","aglo",55,1,0,38,TRUE,NA,"24",NA,11,"8-purple",36,"11_AGLO_2","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,2,"wild",0.621,420,29,44,8.8392,13.4112,5.704,0.615
"65","ES",4,2026-02-10,"CBASS","aglo",41,0,0,37,TRUE,NA,"32",NA,11,"1-green",29,"11_AGLO_8","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,8,"wild",0.688,420,29,44,8.8392,13.4112,6.937,0.492
"66","ES",4,2026-02-10,"CBASS","aglo",41,0,0,37,TRUE,NA,"32",NA,11,"2-blue",37,"11_AGLO_8","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,8,"wild",0.458,420,29,44,8.8392,13.4112,5.597,0.745
"67","ES",4,2026-02-10,"CBASS","aglo",41,0,0,37,TRUE,NA,"32",NA,11,"3-red",34,"11_AGLO_8","ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,8,"wild",0.65,420,29,44,8.8392,13.4112,6.634,0.553
