Project,Country,Date,Site_number,SITE,Latitude,Longitude,Species,Genotype,Condition,Tank_color,Temperature,Pam_value,Timepoint,SampleID_clean,MINIMUM_DEPTH_FEET,MAXIMUM_DEPTH_FEET,MINIMUM_DEPTH_METERS,MAXIMUM_DEPTH_METERS,Bag_number
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,6,wild,2-blue,34,0.64,420,1_AGLO_6,30,41,9.144,12.4968,36
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,6,wild,3-red,37,0.553,420,1_AGLO_6,30,41,9.144,12.4968,36
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,6,wild,4-yellow,29,0.658,420,1_AGLO_6,30,41,9.144,12.4968,36
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,6,wild,5-orange,35,0.607,420,1_AGLO_6,30,41,9.144,12.4968,36
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,6,wild,6-brown,38,0.56,420,1_AGLO_6,30,41,9.144,12.4968,36
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,6,wild,7-grey,36,0.64,420,1_AGLO_6,30,41,9.144,12.4968,36
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,7,wild,1-green,39,0.084,420,1_AGLO_7,30,41,9.144,12.4968,24
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,7,wild,2-blue,34,0.621,420,1_AGLO_7,30,41,9.144,12.4968,24
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,7,wild,3-red,37,0.533,420,1_AGLO_7,30,41,9.144,12.4968,24
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,7,wild,4-yellow,29,0.61,420,1_AGLO_7,30,41,9.144,12.4968,24
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,7,wild,5-orange,35,0.562,420,1_AGLO_7,30,41,9.144,12.4968,24
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,7,wild,6-brown,38,0.408,420,1_AGLO_7,30,41,9.144,12.4968,24
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,7,wild,7-grey,36,0.521,420,1_AGLO_7,30,41,9.144,12.4968,24
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,8,wild,1-green,39,0.151,420,1_AGLO_8,30,41,9.144,12.4968,6
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,8,wild,2-blue,34,0.616,420,1_AGLO_8,30,41,9.144,12.4968,6
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,8,wild,3-red,37,0.515,420,1_AGLO_8,30,41,9.144,12.4968,6
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,8,wild,4-yellow,29,0.65,420,1_AGLO_8,30,41,9.144,12.4968,6
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,8,wild,5-orange,35,0.609,420,1_AGLO_8,30,41,9.144,12.4968,6
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,8,wild,6-brown,38,0.463,420,1_AGLO_8,30,41,9.144,12.4968,6
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,8,wild,7-grey,36,0.58,420,1_AGLO_8,30,41,9.144,12.4968,6
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,9,wild,1-green,39,0.074,420,1_AGLO_9,30,41,9.144,12.4968,9
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,9,wild,2-blue,34,0.633,420,1_AGLO_9,30,41,9.144,12.4968,9
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,9,wild,3-red,37,0.524,420,1_AGLO_9,30,41,9.144,12.4968,9
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,9,wild,4-yellow,29,0.642,420,1_AGLO_9,30,41,9.144,12.4968,9
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,9,wild,5-orange,35,0.638,420,1_AGLO_9,30,41,9.144,12.4968,9
ESA,TUT,20260214,1,ESA_TUT_1,-14.28361,-170.60696,AGLO,9,wild,6-brown,38,0.478,420,1_AGLO_9,30,41,9.144,12.4968,9
