Name,TG6 Camera #,Date,Site,CBASS / Sophie,Species,Size (cm),PM (% dead),Bleaching (%),Colony Depth (ft),Colony Photo,Tag #,Bag #,Notes,
SW,3,20260218,ESA-TUT-006D,Sophie,PVER,,,,53,,,65,Brown ,
SW,3,20260218,ESA-TUT-006D,Sophie,PVER,,,,52,,,66,Brown ,
SW,3,20260218,ESA-TUT-006D,Sophie,PVER,,,,53,,,67,Brown ,
SW,3,20260218,ESA-TUT-006D,Sophie,PVER,,,,52,,,68,Brown ,
SW,3,20260218,ESA-TUT-006D,Sophie,PVER,,,,53,,,69,Brown ,
SW,3,20260218,ESA-TUT-006D,Sophie,PVER,,,,56,,,70,Brown ,
SW,3,20260218,ESA-TUT-006D,Sophie,PVER,,,,50,,,34,Brown ,
CSC,1,20260218,ESA-TUT-006D,Sophie,PVER,,,,53,,,38,Brown,
CSC,1,20260218,ESA-TUT-006D,Sophie,PVER,,,,51,,,39,Brown,
CSC,1,20260218,ESA-TUT-006D,Sophie,PVER,,,,56,,,40,Brown,
CSC,1,20260218,ESA-TUT-006D,Sophie,PVER,,,,55,,,37,Purple,
CSC,1,20260218,ESA-TUT-006D,Sophie,PVER,,,,53,,,36,Brown,
CSC,1,20260218,ESA-TUT-006D,Sophie,PVER,,,,50,,,7,Brown,
CSC,1,20260218,ESA-TUT-006D,Sophie,PVER,,,,57,,,6,Brown,
CSC,1,20260218,ESA-TUT-006D,Sophie,PVER,,,,59,,,10,Brown,
CSC,1,20260218,ESA-TUT-006D,Sophie,PVER,,,,50,,,12,Brown,
CSC,1,20260218,ESA-TUT-006D,Sophie,PVER,,,,50,,,15,Brown,
CSC,1,20260218,ESA-TUT-006D,Sophie,PVER,,,,54,,,14,Brown,
CSC,1,20260218,ESA-TUT-006D,Sophie,PVER,,,,50,,,13,Brown,
CSC,1,20260218,ESA-TUT-006D,Sophie,PVER,,,,50,,,33,Brown,
ES,4,20260219,ESA-TUT-003,Sophie,AGLO,29,0,0,29,TRUE,6,13,sampled 1 branch for Sophie- colony was too shallow,
BH,3,20260223,ESA-TUT-005,Sophie,AGLO,37,15,0,48,TRUE,12,31,Only collected for sophie,
BH,3,20260223,ESA-TUT-005,Sophie,AGLO,37,5,0,50,TRUE,11,32,,
BH,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,18,TRUE,,23,,
BH,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,19,TRUE,,22,,
BH,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,16,TRUE,,24,,
BH,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,14,TRUE,,25,,
BH,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,19,TRUE,,21,,
BH,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,19,TRUE,,31,,
BH,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,19,TRUE,,32,,
BH,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,21,TRUE,,33,,
BH,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,22,TRUE,,34,,
BH,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,27,TRUE,,35,yellow,
ES,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,17,TRUE,,2,yellow,
ES,3,20260224,ESA-TUT-006S,Sophie,AGLO,,,,20,TRUE,,5,brown,
