"","uni","metric","metrix","stage","col","ASnormalized.ahya1.002r","pval"
"78","ABQ.7.0","ABQ","8","7","1",0.220038333918113,0.0000000000000000000000074340383781687
"79","qm.7.0","qm","9","7","1",0.903403509221424,0.00000000000000000000000000000000000000000000000000000000000000000000000000000204039243054865
"80","nTau1.7.0","nTau1","10","7","1",1.78570943316295,0.00000000309585769284299
"81","nTau2.7.0","nTau2","11","7","1",17.3618754633453,0.000113898574002834
"82","nCon.7.0","nCon","12","7","1",1.26080303646082,0.00000188262646602048
"83","Fm.7.0","Fm","13","7","1",2250.87082529787,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017375960192304
"84","Fo.7.0","Fo","14","7","1",2165.3992524958,0.00000000000000000000000000000000000000000000000000000000000000000000000000000408078486109729
"85","Quant.8.0","Quant","1","8","1",0.0416819143043058,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000250654592680945
"86","Sigma.8.0","Sigma","2","8","1",3.47658301948926,0.00000000000000000000000000147997868003321
"87","Connect.8.0","Connect","3","8","1",0.349002906340911,0.00000217180369899266
"88","Tau1.8.0","Tau1","4","8","1",2268.50434648339,0.000000000110293172160379
"89","Tau2.8.0","Tau2","5","8","1",11377114.5426418,0.0000165938848289938
"90","NPQ.8.0","NPQ","6","8","1",0.266407699468191,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000347684956275789
"91","qP.8.0","qP","7","8","1",0.501335713646193,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000501309185361891
"92","ABQ.8.0","ABQ","8","8","1",0.280620334462065,0.00000000000000000000000000147997868003321
"93","qm.8.0","qm","9","8","1",0.89396777321236,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000250654592680945
"94","nTau1.8.0","nTau1","10","8","1",1.91590797349379,0.000000000110293172160379
"95","nTau2.8.0","nTau2","11","8","1",20.9536617807894,0.0000165938848289938
"96","nCon.8.0","nCon","12","8","1",1.17822453510825,0.00000217180369899266
"97","Fm.8.0","Fm","13","8","1",2204.59902260782,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000347684956275789
"98","Fo.8.0","Fo","14","8","1",2112.70711507212,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000501309185361891
"99","Quant.9.0","Quant","1","9","1",0.0419881017302333,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000390698482803826
