"","uni","metric","metrix","stage","col","ASnormalized.t5_ahya2.002r","pval"
"79","qm.7.0","qm","9","7","1",0.888874367018414,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000625638977231199
"80","nTau1.7.0","nTau1","10","7","1",1.90983556190722,0.00000000000330557040906769
"81","nTau2.7.0","nTau2","11","7","1",17.5453947686144,0.0103191681656224
"82","nCon.7.0","nCon","12","7","1",1.04439890809927,0.0000000252780036517295
"83","Fm.7.0","Fm","13","7","1",2853.35828591177,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000723562795309879
"84","Fo.7.0","Fo","14","7","1",2733.49184075536,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000012512779544624
"85","Quant.8.0","Quant","1","8","1",0.0469359151665939,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000411928759615825
"86","Sigma.8.0","Sigma","2","8","1",3.7730316175283,0.000000000000000000000000000000166294729542887
"87","Connect.8.0","Connect","3","8","1",0.329302201203338,0.0000000351058914379219
"88","Tau1.8.0","Tau1","4","8","1",1741.17041019165,0.0000000000000331962963914275
"89","Tau2.8.0","Tau2","5","8","1",17056043.7875676,0.000508303521855695
"90","NPQ.8.0","NPQ","6","8","1",0.199967542666825,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000201604245089708
"91","qP.8.0","qP","7","8","1",0.448012482132315,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000082385751923165
"92","ABQ.8.0","ABQ","8","8","1",0.200178092620173,0.000000000000000000000000000000166294729542887
"93","qm.8.0","qm","9","8","1",0.875840995975972,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000411928759615825
"94","nTau1.8.0","nTau1","10","8","1",2.35197817049488,0.0000000000000331962963914275
"95","nTau2.8.0","nTau2","11","8","1",18.9362652821278,0.000508303521855695
"96","nCon.8.0","nCon","12","8","1",1.05949513008974,0.0000000351058914379219
"97","Fm.8.0","Fm","13","8","1",2789.798333662,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000201604245089708
"98","Fo.8.0","Fo","14","8","1",2658.85659574134,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000082385751923165
"99","Quant.9.0","Quant","1","9","1",0.0566241999370047,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000736120351215039
"100","Sigma.9.0","Sigma","2","9","1",3.67087827638611,0.000000000000000000000000000000286006821623824
"101","Connect.9.0","Connect","3","9","1",0.240698152697122,0.0000567656066176246
"102","Tau1.9.0","Tau1","4","9","1",1690.40881112737,0.00000000000525248094129633
"103","Tau2.9.0","Tau2","5","9","1",11508627.616502,0.00310609364549433
"104","NPQ.9.0","NPQ","6","9","1",0.222880466062439,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000336173411899406
"105","qP.9.0","qP","7","9","1",0.497665455038642,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000147224070243008
"106","ABQ.9.0","ABQ","8","9","1",0.221832954927182,0.000000000000000000000000000000286006821623824
"107","qm.9.0","qm","9","9","1",0.850212694417862,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000736120351215039
"108","nTau1.9.0","nTau1","10","9","1",2.28340925145067,0.00000000000525248094129633
"109","nTau2.9.0","nTau2","11","9","1",12.7773139125122,0.00310609364549433
"110","nCon.9.0","nCon","12","9","1",0.774420941227563,0.0000567656066176246
"111","Fm.9.0","Fm","13","9","1",2737.52631093991,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000336173411899406
"112","Fo.9.0","Fo","14","9","1",2582.51607377644,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000147224070243008
"113","Quant.10.0","Quant","1","10","1",0.0889221109391886,0.0000000000000000000000000000000000000000000000000000000000000000000000000001079278737202
"114","Sigma.10.0","Sigma","2","10","1",5.03537316298389,0.00000000000000000000000000000000000511854603080178
"115","Connect.10.0","Connect","3","10","1",0.235509151436797,0.00000082192320600405
"116","Tau1.10.0","Tau1","4","10","1",1297.46701421655,0.00000000000000000319808864748168
"117","Tau2.10.0","Tau2","5","10","1",4552850.4916811,0.0000000179337266598735
