"","cookie","Image","Color_mean","Color_SD","Folder","Date","Site","Tank_color","Temperature","Bag_number","Project","Country","SITE","Latitude","Longitude","Species","Genotype","Condition","Pam_value","Timepoint","SampleID_clean","MINIMUM_DEPTH_FEET","MAXIMUM_DEPTH_FEET","MINIMUM_DEPTH_METERS","MAXIMUM_DEPTH_METERS","Mean_inverted","Rel_Temperature","X","site","species","genotype","K_2","K_3","K_4","K_5","K_6","K_7","K_8","K_9","K_10","K_11","K_12","K_13","K_14","K_15","ED50"
"26",6,"IMG_4709.jpg",6.63,0.773,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,20,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",2,"wild",0.371,420,"11_ICRA_2",29,44,8.8392,13.4112,3.37,8,58,11,"icra",2,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.22
"27",7,"IMG_4709.jpg",6.93,0.492,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,19,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",3,"wild",0.563,420,"11_ICRA_3",29,44,8.8392,13.4112,3.07,8,59,11,"icra",3,1,"1",1,2,2,2,3,4,4,4,4,4,4,4,38.7
"28",8,"IMG_4709.jpg",7.411,0.478,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,29,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",4,"wild",0.541,420,"11_ICRA_4",29,44,8.8392,13.4112,2.589,8,60,11,"icra",4,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.81
"29",9,"IMG_4709.jpg",6.858,0.521,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,26,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",5,"wild",0.341,420,"11_ICRA_5",29,44,8.8392,13.4112,3.142,8,61,11,"icra",5,1,"1",1,2,2,2,2,2,2,2,2,2,2,2,37.27
"30",10,"IMG_4709.jpg",6.536,1.18,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,4,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",6,"wild",0.404,420,"11_ICRA_6",29,44,8.8392,13.4112,3.464,8,62,11,"icra",6,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.43
"31",11,"IMG_4709.jpg",6.93,0.697,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,28,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",7,"wild",0.426,420,"11_ICRA_7",29,44,8.8392,13.4112,3.07,8,63,11,"icra",7,2,"2",2,3,3,3,4,5,5,8,8,9,10,10,37.49
"32",12,"IMG_4709.jpg",6.877,0.691,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,27,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"ICRA",8,"wild",0.517,420,"11_ICRA_8",29,44,8.8392,13.4112,3.123,8,64,11,"icra",8,1,"1",1,2,2,2,2,2,2,2,2,2,2,2,37.54
"33",13,"IMG_4709.jpg",6.196,0.815,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,23,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",1,"wild",0.493,420,"11_AGLO_1",29,44,8.8392,13.4112,3.804,8,45,11,"aglo",1,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,37.71
"34",14,"IMG_4709.jpg",5.722,0.584,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,24,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",2,"wild",0.608,420,"11_AGLO_2",29,44,8.8392,13.4112,4.278,8,46,11,"aglo",2,1,"3",4,5,6,7,8,9,9,10,10,11,12,12,38.38
"35",15,"IMG_4709.jpg",5.334,0.721,"02.10.2026_ESA-TUT-011_AFTER",20260210,"11","2-blue",37,11,"ESA","TUT","ESA_TUT_11",-14.33699,-170.71101,"AGLO",3,"wild",0.534,420,"11_AGLO_3",29,44,8.8392,13.4112,4.666,8,47,11,"aglo",3,1,"3",4,5,5,6,7,8,8,9,9,10,11,11,37.72
