"","uni","metric","metrix","stage","col","ASnormalized.t5_icra1.002r","pval"
"147","qP.12.0","qP","7","12","1",0.700554311516042,0.000000000000000000000000000000000000000000000000000000000000000000000000110521989110529
"148","ABQ.12.0","ABQ","8","12","1",0.0899585203438891,0.0000000000000000000000000000000000000076611560512829
"149","qm.12.0","qm","9","12","1",0.587039149460436,0.0000000000000000000000000000000000000000000000000000000000000000000000000552609945552647
"150","nTau1.12.0","nTau1","10","12","1",1.62495121330932,0.00000000000000000134396061521475
"151","nTau2.12.0","nTau2","11","12","1",1.84625376103552,0.0000000624969879688451
"152","nCon.12.0","nCon","12","12","1",0.85420715294985,0.0000000189859470664872
"153","Fm.12.0","Fm","13","12","1",2173.36683266037,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000127523496389673
"154","Fo.12.0","Fo","14","12","1",1916.59720330155,0.000000000000000000000000000000000000000000000000000000000000000000000000110521989110529
"155","Quant.13.0","Quant","1","13","1",0.122876711639824,0.000000000000000000000000000000000000000000000000000000000000000000000317093005566824
"156","Sigma.13.0","Sigma","2","13","1",4.78634394926358,0.0000000000000000000000000000000000269928467759245
"157","Connect.13.0","Connect","3","13","1",0.174159404249116,0.00039711337269694
"158","Tau1.13.0","Tau1","4","13","1",1263.02725385178,0.0000000000000000189578481084465
"159","Tau2.13.0","Tau2","5","13","1",4093162.34020384,0.00000647533806149378
"160","NPQ.13.0","NPQ","6","13","1",0.284995245804912,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000463206665346634
"161","qP.13.0","qP","7","13","1",0.681317305520375,0.000000000000000000000000000000000000000000000000000000000000000000000634186011133647
"162","ABQ.13.0","ABQ","8","13","1",0.112021961015698,0.0000000000000000000000000000000000269928467759245
"163","qm.13.0","qm","9","13","1",0.57049537669705,0.000000000000000000000000000000000000000000000000000000000000000000000317093005566824
"164","nTau1.13.0","nTau1","10","13","1",1.84483955908525,0.0000000000000000189578481084465
"165","nTau2.13.0","nTau2","11","13","1",2.01588831309872,0.00000647533806149378
"166","nCon.13.0","nCon","12","13","1",0.604616249532695,0.00039711337269694
"167","Fm.13.0","Fm","13","13","1",2214.16551240276,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000463206665346634
"168","Fo.13.0","Fo","14","13","1",1942.0961352124,0.000000000000000000000000000000000000000000000000000000000000000000000634186011133647
"169","Quant.14.0","Quant","1","14","1",0.133975781187716,0.00000000000000000000000000000000000000000000000000000000000000000000000100698542024051
"170","Sigma.14.0","Sigma","2","14","1",4.64179888944278,0.00000000000000000000000000000000000000132664836715208
"171","Connect.14.0","Connect","3","14","1",0.25461908635103,0.00000000226749253919969
"172","Tau1.14.0","Tau1","4","14","1",1161.62859436681,0.000000000000000000289462366866363
"173","Tau2.14.0","Tau2","5","14","1",3569123.05689547,0.0000000867695553937702
"174","NPQ.14.0","NPQ","6","14","1",0.261851657971134,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000684264659250423
"175","qP.14.0","qP","7","14","1",0.673324919579534,0.00000000000000000000000000000000000000000000000000000000000000000000000201397084048102
"176","ABQ.14.0","ABQ","8","14","1",0.138838428892874,0.00000000000000000000000000000000000000132664836715208
"177","qm.14.0","qm","9","14","1",0.53169956566368,0.00000000000000000000000000000000000000000000000000000000000000000000000100698542024051
"178","nTau1.14.0","nTau1","10","14","1",1.69673170338728,0.000000000000000000289462366866363
"179","nTau2.14.0","nTau2","11","14","1",1.75779821575522,0.0000000867695553937702
"180","nCon.14.0","nCon","12","14","1",0.883942143191976,0.00000000226749253919969
"181","Fm.14.0","Fm","13","14","1",2254.77546341492,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000684264659250423
"182","Fo.14.0","Fo","14","14","1",1952.69015930101,0.00000000000000000000000000000000000000000000000000000000000000000000000201397084048102
"183","Quant.15.0","Quant","1","15","1",0.134958976574911,0.00000000000000000000000000000000000000000000000000000000000000000000000340189833642274
"184","Sigma.15.0","Sigma","2","15","1",4.76451185948783,0.0000000000000000000000000000000000000027458436942142
"185","Connect.15.0","Connect","3","15","1",0.271321828773998,0.000000000425650297164727
"186","Tau1.15.0","Tau1","4","15","1",1167.22859866826,0.000000000000000000102596317419268
"187","Tau2.15.0","Tau2","5","15","1",3833838.42442697,0.000000714968556171747
"188","NPQ.15.0","NPQ","6","15","1",0.245404359859465,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000859118517861237
"189","qP.15.0","qP","7","15","1",0.655564398435002,0.00000000000000000000000000000000000000000000000000000000000000000000000680379667284548
"190","ABQ.15.0","ABQ","8","15","1",0.116072321054906,0.0000000000000000000000000000000000000027458436942142
"191","qm.15.0","qm","9","15","1",0.528262893581763,0.00000000000000000000000000000000000000000000000000000000000000000000000340189833642274
