"","uni","metric","metrix","stage","col","ASnormalized.t10_icra7.002r","pval"
"87","Connect.8.0","Connect","3","8","1",0.358601205251293,0.0000000185288860525854
"88","Tau1.8.0","Tau1","4","8","1",1431.50994355133,0.00000000000000000031056763902744
"89","Tau2.8.0","Tau2","5","8","1",13666993.5028852,0.0000128032986289743
"90","NPQ.8.0","NPQ","6","8","1",0.262770797334863,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000175900744845354
"91","qP.8.0","qP","7","8","1",0.580278696160457,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000336979648693938
"92","ABQ.8.0","ABQ","8","8","1",0.264896464142847,0.000000000000000000000000000000524656285933287
"93","qm.8.0","qm","9","8","1",0.798263773128126,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000168489824346969
"94","nTau1.8.0","nTau1","10","8","1",2.0070536358225,0.00000000000000000031056763902744
"95","nTau2.8.0","nTau2","11","8","1",8.2769154402901,0.0000128032986289743
"96","nCon.8.0","nCon","12","8","1",1.3988322041309,0.0000000185288860525854
"97","Fm.8.0","Fm","13","8","1",2147.33502430311,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000175900744845354
"98","Fo.8.0","Fo","14","8","1",2012.20496997876,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000336979648693938
"99","Quant.9.0","Quant","1","9","1",0.0645225553444422,0.000000000000000000000000000000000000000000000000000000000000000000000000000000396696231489269
"100","Sigma.9.0","Sigma","2","9","1",4.18912149670116,0.0000000000000000000000000000000422897016654381
"101","Connect.9.0","Connect","3","9","1",0.340350762797761,0.00000000436805114761249
"102","Tau1.9.0","Tau1","4","9","1",1365.85964355012,0.0000000000000125051556384547
"103","Tau2.9.0","Tau2","5","9","1",11355796.0209268,0.00536988269519758
"104","NPQ.9.0","NPQ","6","9","1",0.265481559284673,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105881465603128
"105","qP.9.0","qP","7","9","1",0.586687652812959,0.000000000000000000000000000000000000000000000000000000000000000000000000000000793392462978538
"106","ABQ.9.0","ABQ","8","9","1",0.16592570369183,0.0000000000000000000000000000000422897016654381
"107","qm.9.0","qm","9","9","1",0.793155818359624,0.000000000000000000000000000000000000000000000000000000000000000000000000000000396696231489269
"108","nTau1.9.0","nTau1","10","9","1",1.91500839792259,0.0000000000000125051556384547
"109","nTau2.9.0","nTau2","11","9","1",6.877223099766,0.00536988269519758
"110","nCon.9.0","nCon","12","9","1",1.32764084651751,0.00000000436805114761249
"111","Fm.9.0","Fm","13","9","1",2142.73526223256,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000105881465603128
"112","Fo.9.0","Fo","14","9","1",2004.48050768667,0.000000000000000000000000000000000000000000000000000000000000000000000000000000793392462978538
"113","Quant.10.0","Quant","1","10","1",0.1011955407967,0.00000000000000000000000000000000000000000000000000000000000000000000000000108421620223307
"114","Sigma.10.0","Sigma","2","10","1",5.00343391293858,0.000000000000000000000000000000000000166258741335849
"115","Connect.10.0","Connect","3","10","1",0.270003000570251,0.00000000447933141885426
"116","Tau1.10.0","Tau1","4","10","1",1258.70047451089,0.0000000000000000121132562336112
"117","Tau2.10.0","Tau2","5","10","1",4385376.21556093,0.000000127454062860731
"118","NPQ.10.0","NPQ","6","10","1",0.282172853279933,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000163365481483262
"119","qP.10.0","qP","7","10","1",0.672687166719916,0.00000000000000000000000000000000000000000000000000000000000000000000000000216843240446613
"120","ABQ.10.0","ABQ","8","10","1",0.00379217376602525,0.000000000000000000000000000000000000166258741335849
"121","qm.10.0","qm","9","10","1",0.675590826959526,0.00000000000000000000000000000000000000000000000000000000000000000000000000108421620223307
"122","nTau1.10.0","nTau1","10","10","1",1.76476550174099,0.0000000000000000121132562336112
"123","nTau2.10.0","nTau2","11","10","1",2.65584293300459,0.000000127454062860731
"124","nCon.10.0","nCon","12","10","1",1.05322817346632,0.00000000447933141885426
"125","Fm.10.0","Fm","13","10","1",2114.84118841526,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000163365481483262
"126","Fo.10.0","Fo","14","10","1",1900.82869065444,0.00000000000000000000000000000000000000000000000000000000000000000000000000216843240446613
"127","Quant.11.0","Quant","1","11","1",0.108919021275689,0.0000000000000000000000000000000000000000000000000000000000000000000000000846203815670428
"128","Sigma.11.0","Sigma","2","11","1",4.62984890740449,0.00000000000000000000000000000000000204070648747683
"129","Connect.11.0","Connect","3","11","1",0.178089381648125,0.000119775215235352
"130","Tau1.11.0","Tau1","4","11","1",1566.98598316963,0.000000000000000000693406277637683
"131","Tau2.11.0","Tau2","5","11","1",5925757.46879201,0.000148082177061561
"132","NPQ.11.0","NPQ","6","11","1",0.244367331534142,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000598324799314185
"133","qP.11.0","qP","7","11","1",0.638736412427834,0.000000000000000000000000000000000000000000000000000000000000000000000000169240763134086
"134","ABQ.11.0","ABQ","8","11","1",0.0781747503629342,0.00000000000000000000000000000000000204070648747683
"135","qm.11.0","qm","9","11","1",0.650831159730545,0.0000000000000000000000000000000000000000000000000000000000000000000000000846203815670428
"136","nTau1.11.0","nTau1","10","11","1",2.19699830166826,0.000000000000000000693406277637683
"137","nTau2.11.0","nTau2","11","11","1",3.58871857797437,0.000148082177061561
"138","nCon.11.0","nCon","12","11","1",0.694691369173131,0.000119775215235352
"139","Fm.11.0","Fm","13","11","1",2179.09285471299,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000598324799314185
"140","Fo.11.0","Fo","14","11","1",1941.7481937088,0.000000000000000000000000000000000000000000000000000000000000000000000000169240763134086
"141","Quant.12.0","Quant","1","12","1",0.118162340295965,0.00000000000000000000000000000000000000000000000000000000000000000000000157337916680689
