"","uni","metric","metrix","stage","col","ASnormalized.ahya3.002r","pval"
"125","Fm.10.0","Fm","13","10","1",2674.39257807951,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000291571950660955
"126","Fo.10.0","Fo","14","10","1",2420.22004185587,0.00000000000000000000000000000000000000000000000000000000000000000000000171434781019372
"127","Quant.11.0","Quant","1","11","1",0.109871027856787,0.000000000000000000000000000000000000000000000000000000000000000000000000000148244777259025
"128","Sigma.11.0","Sigma","2","11","1",4.32955893298638,0.00000000000000000000000000000000000000475846091614595
"129","Connect.11.0","Connect","3","11","1",0.20390824164917,0.000000952624368839705
"130","Tau1.11.0","Tau1","4","11","1",1636.84480575951,0.00000000000000000204431109598201
"131","Tau2.11.0","Tau2","5","11","1",3799354.64692115,0.0000000854414774592767
"132","NPQ.11.0","NPQ","6","11","1",0.238635475602656,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141814307938572
"133","qP.11.0","qP","7","11","1",0.617040087775873,0.00000000000000000000000000000000000000000000000000000000000000000000000000029648955451805
"134","ABQ.11.0","ABQ","8","11","1",-0.0210532884557961,0.00000000000000000000000000000000000000475846091614595
"135","qm.11.0","qm","9","11","1",0.725279967118538,0.000000000000000000000000000000000000000000000000000000000000000000000000000148244777259025
"136","nTau1.11.0","nTau1","10","11","1",2.07111912193137,0.00000000000000000204431109598201
"137","nTau2.11.0","nTau2","11","11","1",4.10979260494539,0.0000000854414774592767
"138","nCon.11.0","nCon","12","11","1",0.626420765072325,0.000000952624368839705
"139","Fm.11.0","Fm","13","11","1",2708.58020417946,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141814307938572
"140","Fo.11.0","Fo","14","11","1",2410.98571311372,0.00000000000000000000000000000000000000000000000000000000000000000000000000029648955451805
"141","Quant.12.0","Quant","1","12","1",0.116300221293557,0.000000000000000000000000000000000000000000000000000000000000000000000000000000929089622510486
"142","Sigma.12.0","Sigma","2","12","1",4.50460398480042,0.000000000000000000000000000000000000000000572273986568289
"143","Connect.12.0","Connect","3","12","1",0.268354673752689,0.0000000000023253730044027
"144","Tau1.12.0","Tau1","4","12","1",1655.43866869211,0.000000000000000000437019021353347
"145","Tau2.12.0","Tau2","5","12","1",4332012.85293947,0.000000321037903148971
"146","NPQ.12.0","NPQ","6","12","1",0.229270723572625,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000457439785465453
"147","qP.12.0","qP","7","12","1",0.616503703148937,0.00000000000000000000000000000000000000000000000000000000000000000000000000000185817924502097
"148","ABQ.12.0","ABQ","8","12","1",-0.0623347050040086,0.000000000000000000000000000000000000000000572273986568289
"149","qm.12.0","qm","9","12","1",0.709204498755278,0.000000000000000000000000000000000000000000000000000000000000000000000000000000929089622510486
"150","nTau1.12.0","nTau1","10","12","1",2.09464615695312,0.000000000000000000437019021353347
"151","nTau2.12.0","nTau2","11","12","1",4.6859732881126,0.000000321037903148971
"152","nCon.12.0","nCon","12","12","1",0.824404833680629,0.0000000000023253730044027
