"","uni","metric","metrix","stage","col","ASnormalized.t9_ahya3.002r","pval"
"518","Fo.12.1","Fo","14","12","2",2443.70300415104,0.0000000000000000000000000000000000000000000000000000000000000000000000000000015706479491069
"519","Quant.13.1","Quant","1","13","2",0.0971417595635839,0.00000000000000000000000000000000000000000000000000000000000000000000000676112603988873
"520","Sigma.13.1","Sigma","2","13","2",4.4034859356553,0.00000000000000000000000000000000777176636409681
"521","Connect.13.1","Connect","3","13","2",0.2110335273645,0.000121646551707126
"522","Tau1.13.1","Tau1","4","13","2",1468.69098195277,0.000000000000000000600902722040018
"523","Tau2.13.1","Tau2","5","13","2",4341541.16616634,0.000000101201146320772
"524","NPQ.13.1","NPQ","6","13","2",0.305480876289652,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000966594221065842
"525","qP.13.1","qP","7","13","2",0.656504524060942,0.0000000000000000000000000000000000000000000000000000000000000000000000135222520797775
"526","ABQ.13.1","ABQ","8","13","2",0.00183146553567437,0.00000000000000000000000000000000777176636409681
"527","qm.13.1","qm","9","13","2",0.704580450124227,0.00000000000000000000000000000000000000000000000000000000000000000000000676112603988873
"528","nTau1.13.1","nTau1","10","13","2",2.08386639268481,0.000000000000000000600902722040018
"529","nTau2.13.1","nTau2","11","13","2",3.95663988997214,0.000000101201146320772
"530","nCon.13.1","nCon","12","13","2",0.639806708635779,0.000121646551707126
"531","Fm.13.1","Fm","13","13","2",2712.70771064895,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000966594221065842
"532","Fo.13.1","Fo","14","13","2",2449.19051045481,0.0000000000000000000000000000000000000000000000000000000000000000000000135222520797775
"533","Quant.14.1","Quant","1","14","2",0.105259070123382,0.0000000000000000000000000000000000000000000000000000000000000000000000488450780736152
"534","Sigma.14.1","Sigma","2","14","2",4.34399946115209,0.00000000000000000000000000000000325797750289811
"535","Connect.14.1","Connect","3","14","2",0.157560350236427,0.00368393251531554
"536","Tau1.14.1","Tau1","4","14","2",1476.14639715607,0.000000000000000000164670714230644
"537","Tau2.14.1","Tau2","5","14","2",4287710.88555836,0.000000166418673312679
"538","NPQ.14.1","NPQ","6","14","2",0.293192376273291,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000703184516225039
"539","qP.14.1","qP","7","14","2",0.655876879646315,0.0000000000000000000000000000000000000000000000000000000000000000000000976901561472304
"540","ABQ.14.1","ABQ","8","14","2",0.0153156750785134,0.00000000000000000000000000000000325797750289811
"541","qm.14.1","qm","9","14","2",0.679894751177135,0.0000000000000000000000000000000000000000000000000000000000000000000000488450780736152
"542","nTau1.14.1","nTau1","10","14","2",2.09444458059267,0.000000000000000000164670714230644
