"","uni","metric","metrix","stage","col","ASnormalized.t7_aabr4.005r","pval"
"556","nTau1.15.1","nTau1","10","15","2",2.45076509661596,0.000000000000000000125207452467809
"557","nTau2.15.1","nTau2","11","15","2",4.65089363069297,0.000000869052900981991
"558","nCon.15.1","nCon","12","15","2",0.741192613219223,0.000000000150673340672638
"559","Fm.15.1","Fm","13","15","2",2716.42611333686,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016487754476576
"560","Fo.15.1","Fo","14","15","2",2393.58577981446,0.0000000000000000000000000000000000000000000000000000000000000000000000000000854064696654016
"561","Quant.16.1","Quant","1","16","2",0.0465457169403993,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000245348996708937
"562","Sigma.16.1","Sigma","2","16","2",3.31702372940598,0.0000000000000000000000000000355325466518333
"563","Connect.16.1","Connect","3","16","2",0.310999593610438,0.00000323401477996233
"564","Tau1.16.1","Tau1","4","16","2",1350.57953500867,0.000000000000966016278739826
"565","Tau2.16.1","Tau2","5","16","2",10094669.7858364,0.000140568614428454
"566","NPQ.16.1","NPQ","6","16","2",0.267238570892654,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117075120907154
"567","qP.16.1","qP","7","16","2",0.510184411359423,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000490697993417873
"568","ABQ.16.1","ABQ","8","16","2",0.263722788485411,0.0000000000000000000000000000355325466518333
"569","qm.16.1","qm","9","16","2",0.870929566526038,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000245348996708937
"570","nTau1.16.1","nTau1","10","16","2",1.93990497142151,0.000000000000966016278739826
"571","nTau2.16.1","nTau2","11","16","2",11.6141482137923,0.000140568614428454
"572","nCon.16.1","nCon","12","16","2",0.915819797261795,0.00000323401477996233
"573","Fm.16.1","Fm","13","16","2",2783.88161305547,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117075120907154
"574","Fo.16.1","Fo","14","16","2",2654.3038474986,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000490697993417873
"575","Quant.17.1","Quant","1","17","2",0.0418453470430772,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000296677743768557
"576","Sigma.17.1","Sigma","2","17","2",3.10788617288006,0.0000000000000000000000000000000285832401004486
"577","Connect.17.1","Connect","3","17","2",0.334121487816729,0.00000000176477122008575
"578","Tau1.17.1","Tau1","4","17","2",1044.73098522605,0.00000000000093746469959164
"579","Tau2.17.1","Tau2","5","17","2",8883242.07150845,0.000000153424576210305
"580","NPQ.17.1","NPQ","6","17","2",0.324359020646406,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000275083693512822
"581","qP.17.1","qP","7","17","2",0.569734029605183,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000593355487537114
"582","ABQ.17.1","ABQ","8","17","2",0.310144891401585,0.0000000000000000000000000000000285832401004486
"583","qm.17.1","qm","9","17","2",0.883963607465018,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000296677743768557
"584","nTau1.17.1","nTau1","10","17","2",1.50059939418903,0.00000000000093746469959164
"585","nTau2.17.1","nTau2","11","17","2",10.220372951897,0.000000153424576210305
"586","nCon.17.1","nCon","12","17","2",0.983908273579354,0.00000000176477122008575
"587","Fm.17.1","Fm","13","17","2",2663.81102243774,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000275083693512822
"588","Fo.17.1","Fo","14","17","2",2552.34292574666,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000593355487537114
"589","Quant.18.1","Quant","1","18","2",0.0483547636225252,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000690229249977245
"590","Sigma.18.1","Sigma","2","18","2",3.57142848924133,0.0000000000000000000000000156170414384963
"591","Connect.18.1","Connect","3","18","2",0.203927889982906,0.0115652850468564
"592","Tau1.18.1","Tau1","4","18","2",1561.66281461022,0.000000000103919813598534
"593","Tau2.18.1","Tau2","5","18","2",8587639.01072122,0.0000432495622234002
"594","NPQ.18.1","NPQ","6","18","2",0.348184024678303,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000174516541439564
"595","qP.18.1","qP","7","18","2",0.606025464243043,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000138045849995449
"596","ABQ.18.1","ABQ","8","18","2",0.207252759191664,0.0000000000000000000000000156170414384963
"597","qm.18.1","qm","9","18","2",0.86591311270848,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000690229249977245
"598","nTau1.18.1","nTau1","10","18","2",2.24309444887822,0.000000000103919813598534
"599","nTau2.18.1","nTau2","11","18","2",9.88027487704465,0.0000432495622234002
"600","nCon.18.1","nCon","12","18","2",0.600519109018871,0.0115652850468564
"601","Fm.18.1","Fm","13","18","2",2616.73635964092,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000174516541439564
"602","Fo.18.1","Fo","14","18","2",2490.20469150802,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000138045849995449
"603","Quant.19.1","Quant","1","19","2",0.04774832395768,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000465165280619337
"604","Sigma.19.1","Sigma","2","19","2",3.31461284396115,0.000000000000000000000000000000220761027919442
"605","Connect.19.1","Connect","3","19","2",0.393007443385717,0.000000000278260911805608
"606","Tau1.19.1","Tau1","4","19","2",1169.47445389938,0.000000000000018436656376441
"607","Tau2.19.1","Tau2","5","19","2",10260286.2737288,0.0000259919103725515
"608","NPQ.19.1","NPQ","6","19","2",0.384448306366171,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000674426704568146
"609","qP.19.1","qP","7","19","2",0.643219210381828,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000930330561238674
"610","ABQ.19.1","ABQ","8","19","2",0.264257930877328,0.000000000000000000000000000000220761027919442
"611","qm.19.1","qm","9","19","2",0.867594758960005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000465165280619337
"612","nTau1.19.1","nTau1","10","19","2",1.67977468061909,0.000000000000018436656376441
"613","nTau2.19.1","nTau2","11","19","2",11.8046937668255,0.0000259919103725515
"614","nCon.19.1","nCon","12","19","2",1.15731340014138,0.000000000278260911805608
"615","Fm.19.1","Fm","13","19","2",2548.19348663327,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000674426704568146
"616","Fo.19.1","Fo","14","19","2",2426.52151852666,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000930330561238674
"617","Quant.20.1","Quant","1","20","2",0.0483512013126556,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000515148418541968
"618","Sigma.20.1","Sigma","2","20","2",3.11139757159078,0.00000000000000000000000000000318747064784662
"619","Connect.20.1","Connect","3","20","2",0.459157793681206,0.00000000000204336865166194
"620","Tau1.20.1","Tau1","4","20","2",811.806132999672,0.00000000000191574118114296
"621","Tau2.20.1","Tau2","5","20","2",6889438.42451741,0.0000000197736720522539
"622","NPQ.20.1","NPQ","6","20","2",0.420902255592935,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046957019476144
"623","qP.20.1","qP","7","20","2",0.680452245193659,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000103029683708394
"624","ABQ.20.1","ABQ","8","20","2",0.309365468924646,0.00000000000000000000000000000318747064784662
"625","qm.20.1","qm","9","20","2",0.865922990929491,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000515148418541968
"626","nTau1.20.1","nTau1","10","20","2",1.16603777298197,0.00000000000191574118114296
"627","nTau2.20.1","nTau2","11","20","2",7.92645630512928,0.0000000197736720522539
"628","nCon.20.1","nCon","12","20","2",1.3521104405269,0.00000000000204336865166194
"629","Fm.20.1","Fm","13","20","2",2482.81832404481,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046957019476144
"630","Fo.20.1","Fo","14","20","2",2362.77107543617,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000103029683708394
"631","Quant.21.1","Quant","1","21","2",0.048864501214226,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000651140377445405
"632","Sigma.21.1","Sigma","2","21","2",3.59030683812627,0.000000000000000000000000000439387350211369
"633","Connect.21.1","Connect","3","21","2",0.329897031436535,0.00000416804041031683
"634","Tau1.21.1","Tau1","4","21","2",1032.932587552,0.0000000000534573949988021
