"","uni","metric","metrix","stage","col","ASnormalized.aabr5.005r","pval"
"84","Fo.7.0","Fo","14","7","1",3348.60380607566,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000322002089115935
"85","Quant.8.0","Quant","1","8","1",0.0421573902023197,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000451768297684087
"86","Sigma.8.0","Sigma","2","8","1",3.50807566097228,0.000000000000000000000000000000049634138304185
"87","Connect.8.0","Connect","3","8","1",0.323606372051831,0.0000000421140848278938
"88","Tau1.8.0","Tau1","4","8","1",2108.72149836282,0.00000000632692106919501
"89","Tau2.8.0","Tau2","5","8","1",13142173.1204871,0.000981261233801917
"90","NPQ.8.0","NPQ","6","8","1",0.0558906633255892,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000314644269939585
"91","qP.8.0","qP","7","8","1",0.231920186666024,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000903536595368174
"92","ABQ.8.0","ABQ","8","8","1",0.19385421252498,0.000000000000000000000000000000049634138304185
"93","qm.8.0","qm","9","8","1",0.88341553197236,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000451768297684087
"94","nTau1.8.0","nTau1","10","8","1",2.57987547064915,0.00000000632692106919501
"95","nTau2.8.0","nTau2","11","8","1",13.2270513053701,0.000981261233801917
"96","nCon.8.0","nCon","12","8","1",1.03969028361283,0.0000000421140848278938
"97","Fm.8.0","Fm","13","8","1",3420.09917290099,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000314644269939585
"98","Fo.8.0","Fo","14","8","1",3275.91671753837,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000903536595368174
"99","Quant.9.0","Quant","1","9","1",0.0348722777864684,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000683380467141107
"100","Sigma.9.0","Sigma","2","9","1",4.27645136406107,0.0000000000000000000000284916856467042
"101","Connect.9.0","Connect","3","9","1",0.134101656048181,0.132293383361506
"102","Tau1.9.0","Tau1","4","9","1",2013.21861489809,0.00000000000000119588627032766
"103","Tau2.9.0","Tau2","5","9","1",13389845.7746466,0.0000899116970006358
"104","NPQ.9.0","NPQ","6","9","1",0.0766372493855402,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000177350697422022
"105","qP.9.0","qP","7","9","1",0.258678955141171,0.000000000000000000000000000000000000000000000000000000000000000000000000000000136676093428221
"106","ABQ.9.0","ABQ","8","9","1",0.0172836661327425,0.0000000000000000000000284916856467042
"107","qm.9.0","qm","9","9","1",0.903562200242087,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000683380467141107
"108","nTau1.9.0","nTau1","10","9","1",2.46303427250221,0.00000000000000119588627032766
"109","nTau2.9.0","nTau2","11","9","1",13.4763235431858,0.0000899116970006358
"110","nCon.9.0","nCon","12","9","1",0.43084500445916,0.132293383361506
"111","Fm.9.0","Fm","13","9","1",3354.19454080262,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000177350697422022
"112","Fo.9.0","Fo","14","9","1",3237.22613702589,0.000000000000000000000000000000000000000000000000000000000000000000000000000000136676093428221
"113","Quant.10.0","Quant","1","10","1",0.0813823779747461,0.0000000000000000000000000000000000000000000000000000000000000000000000000664317474553387
"114","Sigma.10.0","Sigma","2","10","1",4.97076919735224,0.000000000000000000000000000000193078831825808
"115","Connect.10.0","Connect","3","10","1",0.205863158438326,0.000464938098951847
"116","Tau1.10.0","Tau1","4","10","1",2242.73783500324,0.00000000000000002041941809452
"117","Tau2.10.0","Tau2","5","10","1",6061511.87444806,0.000000603262322346509
"118","NPQ.10.0","NPQ","6","10","1",0.118752086473276,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000579414756813691
"119","qP.10.0","qP","7","10","1",0.446793195446225,0.000000000000000000000000000000000000000000000000000000000000000000000000132863494910677
"120","ABQ.10.0","ABQ","8","10","1",-0.142268592874503,0.000000000000000000000000000000193078831825808
"121","qm.10.0","qm","9","10","1",0.774940498036617,0.0000000000000000000000000000000000000000000000000000000000000000000000000664317474553387
"122","nTau1.10.0","nTau1","10","10","1",2.74383522533146,0.00000000000000002041941809452
"123","nTau2.10.0","nTau2","11","10","1",6.1006598997277,0.000000603262322346509
"124","nCon.10.0","nCon","12","10","1",0.661402073837704,0.000464938098951847
"125","Fm.10.0","Fm","13","10","1",3227.92764185829,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000579414756813691
"126","Fo.10.0","Fo","14","10","1",2965.23121443345,0.000000000000000000000000000000000000000000000000000000000000000000000000132863494910677
"127","Quant.11.0","Quant","1","11","1",0.0838715285211843,0.000000000000000000000000000000000000000000000000000000000000000000000000000410898821195695
"128","Sigma.11.0","Sigma","2","11","1",4.52245260947676,0.000000000000000000000000000000000125896342886409
"129","Connect.11.0","Connect","3","11","1",0.292984748957949,0.0000000123472606239208
