"","uni","metric","metrix","stage","col","ASnormalized.occ2_aglo13.005r","pval"
"89","Tau2.8.0","Tau2","5","8","1",10985829.8875648,0.000526183527015736
"90","NPQ.8.0","NPQ","6","8","1",0.150048719226444,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102571612490409
"91","qP.8.0","qP","7","8","1",0.397802225632757,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000507718854046576
"92","ABQ.8.0","ABQ","8","8","1",0.135627794451756,0.00000000000000000000000000000000279954618088172
"93","qm.8.0","qm","9","8","1",0.890283972727923,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000253859427023288
"94","nTau1.8.0","nTau1","10","8","1",2.97511725999098,0.000000022280176036128
"95","nTau2.8.0","nTau2","11","8","1",12.8467955840844,0.000526183527015736
"96","nCon.8.0","nCon","12","8","1",0.75347708706077,0.00000237243557851506
"97","Fm.8.0","Fm","13","8","1",2869.99367404166,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000102571612490409
"98","Fo.8.0","Fo","14","8","1",2749.93007783523,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000507718854046576
"99","Quant.9.0","Quant","1","9","1",0.0434512647306982,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000901331343183559
"100","Sigma.9.0","Sigma","2","9","1",4.24353385267261,0.0000000000000000000000000000257182992217647
"101","Connect.9.0","Connect","3","9","1",0.225536413630335,0.000307343254990896
"102","Tau1.9.0","Tau1","4","9","1",1840.80957856544,0.0000000000000113213856697669
"103","Tau2.9.0","Tau2","5","9","1",11377010.9777709,0.0000618828496191184
"104","NPQ.9.0","NPQ","6","9","1",0.164955993258877,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117074376590344
"105","qP.9.0","qP","7","9","1",0.426531078712393,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000180266268636712
"106","ABQ.9.0","ABQ","8","9","1",0.099549025091929,0.0000000000000000000000000000257182992217647
"107","qm.9.0","qm","9","9","1",0.886042716575587,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000901331343183559
"108","nTau1.9.0","nTau1","10","9","1",2.63369327640684,0.0000000000000113213856697669
"109","nTau2.9.0","nTau2","11","9","1",13.3042415443505,0.0000618828496191184
"110","nCon.9.0","nCon","12","9","1",0.697563473681174,0.000307343254990896
"111","Fm.9.0","Fm","13","9","1",2833.26801022443,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117074376590344
"112","Fo.9.0","Fo","14","9","1",2710.15893185915,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000180266268636712
"113","Quant.10.0","Quant","1","10","1",0.0792884729726519,0.0000000000000000000000000000000000000000000000000000000000000000000000000431837938997274
"114","Sigma.10.0","Sigma","2","10","1",5.30406086484532,0.0000000000000000000000000000000972073151131586
"115","Connect.10.0","Connect","3","10","1",0.292700712744624,0.000000480451940228892
"116","Tau1.10.0","Tau1","4","10","1",2199.64437346746,0.000000000000000481082537065595
"117","Tau2.10.0","Tau2","5","10","1",5589515.19237571,0.000000253221371926752
"118","NPQ.10.0","NPQ","6","10","1",0.197339827789933,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000078095187281631
"119","qP.10.0","qP","7","10","1",0.550841359541188,0.0000000000000000000000000000000000000000000000000000000000000000000000000863675877994548
"120","ABQ.10.0","ABQ","8","10","1",-0.125488081994144,0.0000000000000000000000000000000972073151131586
"121","qm.10.0","qm","9","10","1",0.792054407556752,0.0000000000000000000000000000000000000000000000000000000000000000000000000431837938997274
"122","nTau1.10.0","nTau1","10","10","1",3.14708738173891,0.000000000000000481082537065595
"123","nTau2.10.0","nTau2","11","10","1",6.53636182477808,0.000000253221371926752
"124","nCon.10.0","nCon","12","10","1",0.905296500217261,0.000000480451940228892
"125","Fm.10.0","Fm","13","10","1",2756.63806749999,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000078095187281631
"126","Fo.10.0","Fo","14","10","1",2538.06844458963,0.0000000000000000000000000000000000000000000000000000000000000000000000000863675877994548
"127","Quant.11.0","Quant","1","11","1",0.0908344928110542,0.0000000000000000000000000000000000000000000000000000000000000000000000000000012444034287553
"128","Sigma.11.0","Sigma","2","11","1",5.31511915899107,0.0000000000000000000000000000000000000230790165531773
"129","Connect.11.0","Connect","3","11","1",0.167416608937629,0.0000791179377813897
"130","Tau1.11.0","Tau1","4","11","1",2236.86993887399,0.0000000000000000728916030089371
"131","Tau2.11.0","Tau2","5","11","1",4757804.12153585,0.000000502869346233776
"132","NPQ.11.0","NPQ","6","11","1",0.181603700024846,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000167011126751438
"133","qP.11.0","qP","7","11","1",0.549722496330183,0.0000000000000000000000000000000000000000000000000000000000000000000000000000024888068575106
"134","ABQ.11.0","ABQ","8","11","1",-0.127834581890235,0.0000000000000000000000000000000000000230790165531773
"135","qm.11.0","qm","9","11","1",0.76177328540062,0.0000000000000000000000000000000000000000000000000000000000000000000000000000012444034287553
"136","nTau1.11.0","nTau1","10","11","1",3.20034694886807,0.0000000000000000728916030089371
"137","nTau2.11.0","nTau2","11","11","1",5.56376146399932,0.000000502869346233776
"138","nCon.11.0","nCon","12","11","1",0.51780424013423,0.0000791179377813897
"139","Fm.11.0","Fm","13","11","1",2793.34987606268,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000167011126751438
"140","Fo.11.0","Fo","14","11","1",2539.6173568267,0.0000000000000000000000000000000000000000000000000000000000000000000000000000024888068575106
"141","Quant.12.0","Quant","1","12","1",0.095375908343846,0.00000000000000000000000000000000000000000000000000000000000000000000000000556829226409018
"142","Sigma.12.0","Sigma","2","12","1",5.38138008970392,0.00000000000000000000000000000000000601876093818383
"143","Connect.12.0","Connect","3","12","1",0.210180857551959,0.0000126652643616369
"144","Tau1.12.0","Tau1","4","12","1",2145.26707490382,0.00000000000000142256899483928
"145","Tau2.12.0","Tau2","5","12","1",4277826.97654711,0.00000181861234631102
